establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Tecta America Zero Company|Tecta America|OH|1|21|52|113687|310616378|'Tecta America'|tecta america|false
Tecta America Zero Company-Columbus|Tecta America|OH|1|1|12|27871|310616378|'Tecta America'|tecta america|false
Tecta America Zero Company-Dayton|Tecta America|OH|1|1|4|15422|310616378|'Tecta America'|tecta america|false
Micro Gauge|Mueller Industries|MI|1|21|85|169752||'Mueller'|mueller|false
Roof Services A Tecta America Company LLC|Tecta America Company LLC|VA|1|21|79|170585|832486234|'Tecta America'|tecta america|false
Roof Services A Tecta America Company LLC Richmond unit|Tecta America Company LLC|VA|1|21|30|63163|832486234|'Tecta America'|tecta america|false
Albuquerque Progressive|Progressive Roofing|NM|1|21|60|161532|860345657|'Progressive Roofing'|progressive roofing|false
Mahaney, A Tecta America Company|Tecta America|KS|1|3|201|309182|882961674|'Tecta America'|tecta america|false
Arvada Colorado|Progressive Roofing|CO|1|1|8|16185|860345657|'Progressive Roofing'|progressive roofing|false
Maryland Progressive|Progressive Roofing|MD|1|1|16|36195|860345657|'Progressive Roofing'|progressive roofing|false
Columbus Ohio Location|Progressive Roofing|OH|1|1|14|29580|860345657|'Progressive Roofing'|progressive roofing|false
Dallas Progressive|Progressive Roofing|TX|1|21|81|202226|860345657|'Progressive Roofing'|progressive roofing|false
Flagstaff Progressive|Progressive Roofing|AZ|1|1|14|33068|860345657|'Progressive Roofing'|progressive roofing|false
Lehi Utah Location|Progressive Roofing|UT|1|1|16|57865|860345657|'Progressive Roofing'|progressive roofing|false
Pennsylvania Location|Progressive Roofing|PA|1|1|10|23428|860345657|'Progressive Roofing'|progressive roofing|false
Phoenix Progressive|Progressive Roofing|AZ|1|3|709|1571942|860345657|'Progressive Roofing'|progressive roofing|false
Phoenix Service Location|Progressive Roofing|AZ|1|21|49|95604|860345657|'Progressive Roofing'|progressive roofing|false
Tucson Progressive|Progressive Roofing|AZ|1|22|192|353046|860345657|'Progressive Roofing'|progressive roofing|false
TMJ Construction Services|TMJ Construction Services|IA|1|21|32|41946|542149654|'TMJ Construction Services'|tmj|false
BDRIN-Lafayette|Bone Dry Roofing, Inc|IN|1|21|51|53619|351883225|'Bone Dry Roofing'|bone dry roofing|false
double kwik Ermine|c|KY|1|3|10|15943|810583723|'C'|c|false
double kwik Pound|c|VA|1|3|5|7971|810583723|'C'|c|false
double kwik Hindman 1|c|KY|1|3|20|31887|810583723|'C'|c|false
double kwik Phelps|c|KY|1|3|11|17538|810583723|'C'|c|false
Janney Roofing LLC|Janney Roofing|FL|1|22|100|416000|883485181|'Janney Roofing'|janney roofing|false
BDR-IndyNorth|Bone Dry Roofing, Inc|IN|1|22|105|251018|351883225|'Bone Dry Roofing'|bone dry roofing|false
BDRKY-Louisville|Bone Dry Roofing, Inc|KY|1|21|33|71895|351883225|'Bone Dry Roofing'|bone dry roofing|false
COTTON PARTNERS, LLC|COTTON PARTNERS LLC|GA|1|21|21|64146|200800225|'Cotton Holdings'|cotton|false
Premier Roofing Co.|Premier Roofing Company|CO|1|22|185|427382|651261019|'Premier Roofing Company', 'Premier Roofing Contractors'|premier roofing|true
Tecta America South Florida|Tecta America Corp.|FL|1|21|57|113074|650056654|'Tecta America'|tecta america|false
Nitro Roofing and Construction LLC|Nitro Roofing and Construction LLC|OH|1|21|22|47198|451562156|'Nitro Roofing and Construction'|nitro roofing and|false
Worthmann, LLC|Worthmann Roofing|FL|1|21|50|400721|472139631|'Worthmann Roofing'|worthmann roofing|false
Tecta America Southeast|Tecta America|FL|1|21|85|175715|202141268|'Tecta America'|tecta america|false
Nutrition 101, LLC, Archdale|101 Inc|NC|1|21|22|44000|371168221|'101 Industries'|101|false
Nutrition 101,LLC Pendleton|101 Inc|IN|1|21|51|106080|371168221|'101 Industries'|101|false
Cotton Commercial USA, Inc.|Cotton Holdings|TX|1|3|845|1815207|202702810|'Cotton Holdings'|cotton|false
Commercial Roofing & Waterproofing Hawaii, Inc|Commercial Roofing & Waterproofing Hawaii, Inc.|HI|1|21|95|176983|990301791|'commercial roofing & waterproofing hawaii'|commercial roofing & waterproofing hawaii|false
Honolulu Roofing Company, Inc|Commercial Roofing & Waterproofing Hawaii, Inc.|HI|1|21|23|66779|912175749|'commercial roofing & waterproofing hawaii'|commercial roofing & waterproofing hawaii|false
Greenpath Technologies, Inc|Commercial Roofing & Waterproofing Hawaii, Inc.|HI|1|1|14|26406|260709164|'commercial roofing & waterproofing hawaii'|commercial roofing & waterproofing hawaii|false
Allen Roofing & Siding, LLC.|Allen Roofing & Siding, LLC.|MO|1|22|100|145356|881581570|'Allen Roofing & Siding'|allen roofing & siding|false
F-Wave, LLC|F-WAVE, LLC|TX|1|21|50|93053|452568563|'F-Wave'|f-wave|false
Katchmark, A Tecta America Co, Chantilly|Tecta America Corp.|VA|1|21|36|90346|882190831|'Tecta America'|tecta america|false
J.P. Patti Tecta America LLC.|Tecta America|NJ|1|21|32|52343||'Tecta America'|tecta america|false
Supreme Roofing, LP|Supreme Roofing|TX|1|3|261|424946|823769023|'Supreme Roofing Services'|supreme roofing|false
American Roofing & Metal Louisville|American Roofing & Metal|KY|1|22|175|80099|610192077|'American Roofing & Metal Co.'|american roofing & metal|false
D.R. Kidd Company Inc.|Kidd Roofing|TX|1|22|126|249230|742736561|'Kidd Roofing'|kidd roofing|false
C.E. Reeve Roofing LLC.|Tecta America|IN|1|21|60|119027|822463050|'Tecta America'|tecta america|false
Mueller Copper Tube West Co.|Mueller Industries Inc|UT|1|21|71|141053||'Mueller'|mueller|false
Tecta America Sacramento, Inc.|Tecta America|CA|1|21|60|107685|202970607|'Tecta America'|tecta america|false
Forest Haven Nursing and Rehabilitation Center|Central Management Company|LA|2|2|136|237984||'CENTRAL'|central|false
Absolute Construction Enterprises, Inc.|Absolute Construction Enterprises Inc.|WI|1|2|22|34562|391668123|'Absolute Construction'|absolute|false
ATCO Rubber Products Baltimore|Mueller Industries Inc.|MD|1|2|34|68106||'Mueller'|mueller|false
Letner Roofing Company|Letner Roofing Company|CA|1|3|380|699316||'Letner Roofing'|letner roofing|false
Triangle Roofing, Inc.|Triangle Roofing, Inc.|PA|1|21|43|68469|251513867|'Triangle Roofing Services'|triangle roofing|false
RCH Roofing Corporation|RCH Roofing Corporation|MA|1|22|102|212373|43386814|'Rch Roofing Services'|rch roofing|false
Southern Oaks Nursing & Rehabilitation Center, LLC|Central Management|LA|1|21|79|151973||'CENTRAL'|central|false
Dynamic Manufacturing|Dynamic Manufacturing|PA|1|2|46|2104124|203933236|'Dynamic National'|dynamic|false
Warren Roofing & Insulating Company|Warren Roofing & Insulating Company|OH|1|2|110|131588|340604460|'Warren Roofing & Insulating'|warren roofing & insulating|false
Total Roofing Services LLC|Total Roofing Services|OH|1|2|25|30893|341862745|'Total Roofing Contractors'|total roofing|false
David Lundberg Building & Roofing Contractor|David Lundberg Building & Roofing Contractor|FL|1|21|31|68808|526111824|'David Lundberg Building & Roofing Contractor'|david lundberg building & roofing contractor|false
Empire Roofing Inc.|Empire Roofing Inc.|TX|1|3|255|510916|751828325|'Empire Roofing', 'Empire Roofing Contractors', 'Empire Roofing Services'|empire roofing|true
Empire Roofing Inc..|Empire Roofing Inc..|TN|1|21|49|83968|464526366|'Empire Roofing', 'Empire Roofing Contractors', 'Empire Roofing Services'|empire roofing|true
Pinnacle Roofing Group|Pinnacle Roofing Group|FL|1|21|45|56000|844581614|'Pinnacle Roofing Contractors'|pinnacle roofing|false
Mueller Company|Mueller|AL|1|3|542|1088305||'Mueller'|mueller|false
All Seasons Roofing, LLC|All Seasons Roofing, LLC|MO|1|1|18|42323|204885966|'All Seasons Roofing Services'|all seasons roofing|false
Roofing Data 2023|Progressive Roofing Inc|NY|1|21|33|37115|161064150|'Progressive Roofing'|progressive roofing|false
Roofing Services & Solutions|Tecta America|MO|1|21|49|123318|832215604|'Tecta America'|tecta america|false
Holland Roofing Group|Holland Roofing Group|KY|1|21|45|94171|311551993|'Holland Roofing'|holland roofing|false
Central Manufacturing Inc.|Central Manufacturing Inc.|WA|1|21|37|60728|455609651|'CENTRAL'|central|false
BDRIN-Bloomington|Bone Dry Roofing, Inc|IN|1|21|23|42989|351883225|'Bone Dry Roofing'|bone dry roofing|false
Best Roofing Services, LLC|Best Roofing|FL|1|3|268|385291||'Best Roofing'|best roofing|false
BuildMat Plus Investments|Metroll|CA|1|21|25|43867||'Metroll'|metroll|false
Eastgate|C|TN|1|1|2|760|582288306|'C'|c|false
North Orlando - FL Central South|Massey Services Inc.|FL|1|21|37|75961||'Massey Construction Group'|massey|false
AAA ROOOFING WATER PROOFING|AAA Roofing|CA|1|22|391|795966|330833682|'AAA Roofing', 'AAA ROOFING SERVICES'|aaa roofing|true
Superior Roofing Services|Superior Roofing Services|IN|1|21|55|93093|352014930|'Superior Roofing'|superior roofing|false
Cornerstone|Cornerstone|IL|1|1|13|21653|362936229|'Cornerstone Construction'|cornerstone|false
TAMKO Building Products LLC - Columbus|TAMKO Building Products LLC|KS|1|2|28|53255|440502367|'Tamko Building Products'|tamko building products|false
TAMKO Building Products LLC - Dallas|TAMKO Building Products LLC|TX|1|2|87|180883|440502367|'Tamko Building Products'|tamko building products|false
TAMKO Building Products LLC - Frederick|TAMKO Building Products LLC|MD|1|2|98|197499|440502367|'Tamko Building Products'|tamko building products|false
TAMKO Building Products LLC - Phillipsburg|TAMKO Building Products LLC|KS|1|2|91|184461|440502367|'Tamko Building Products'|tamko building products|false
TAMKO Building Products LLC - Tuscaloosa|TAMKO Building Products LLC|AL|1|2|87|175741|440502367|'Tamko Building Products'|tamko building products|false
TAMKO Building Products LLC - Ennis|TAMKO Building Products LLC|TX|1|2|28|54447|440502367|'Tamko Building Products'|tamko building products|false
TAMKO Building Products LLC - High Street|TAMKO Building Products LLC|MO|1|2|98|191833|440502367|'Tamko Building Products'|tamko building products|false
TAMKO Building Products LLC - Knoxville|TAMKO Building Products LLC|TN|1|2|35|67255|440502367|'Tamko Building Products'|tamko building products|false
TAMKO Building Products LLC - Rangeline|TAMKO Building Products LLC|MO|1|2|35|69796|440502367|'Tamko Building Products'|tamko building products|false
CFS Roofing|CFS Roofing|FL|1|3|319|428353|274953359|'CFS Roofing Services'|cfs roofing|false
Absolute Group - East Erosion Division|Absolute Group|IA|1|21|18|38966|391953384|'Absolute Construction'|absolute|false
Absolute Group - Erosion Division|Absolute Group|IA|1|21|65|120918|391953384|'Absolute Construction'|absolute|false
Absolute Group - Utility Division|Absolute Group|IA|1|21|36|69620|391953384|'Absolute Construction'|absolute|false
Absolute Group - Concrete Division|Absolute Group|IA|1|22|113|228846|391953384|'Absolute Construction'|absolute|false
Tecta America Southern California, Inc.|Tecta America Corp|CA|1|21|87|151854|10629153|'Tecta America'|tecta america|false
Professional Roofing Services|Professional Roofing Services|NV|1|21|62|113669|201729895|'Professional Roofing Services'|professional roofing|false
CertainTeed|CertainTeed|AL|1|21|77|114417||'CertainTeed'|certainteed|false
Wolfe Roofing|Tecta America|PA|1|21|26|52396||'Tecta America'|tecta america|false
Absolute Group - Residential Division|Absolute Group|IA|1|21|92|175120|391953384|'Absolute Construction'|absolute|false
North American Roofing|North American Roofing|FL|1|22|164|326438|832410355|'North American Roofing'|north american roofing|false
J Reynolds & Co., a Tecta America Company, LLC.|Tecta America|TX|1|22|104|180792|854217507|'Tecta America'|tecta america|false
Tecta America West FL, LLC.|Tecta America Corp.|FL|1|1|28|33017|841505685|'Tecta America'|tecta america|false
Advocate construction Inc|Advocate Construction Inc|IL|1|22|217|423982|461290497|'Advocate Construction'|advocate|false
Reliant Roofing LLC|Reliant Roofing LLC|FL|1|22|200|414800|871239494|'Reliant Roofing'|reliant roofing|false
Specialty Roofing Inc|Specialty roofing Inc|AZ|1|21|56|111104|860224636|'Specialty Roofing'|specialty roofing|false
Feazel Roofing LLC (Raleigh)|Feazel Roofing LLC|NC|1|21|30|11632|311356520|'Feazel Roofing'|feazel roofing|false
Feazel Roofing, LLC|Feazel Roofing, LLC|OH|1|22|168|261631|311356520|'Feazel Roofing'|feazel roofing|false
Shanco Companies|Feazel Roofing|MD|1|2|25|49237|743062023|'Feazel Roofing'|feazel roofing|false
Davco Roofing & Sheet Metal|Davco Roofing & Sheet Metal|NC|1|21|60|101772|263102788|'Davco Roofing & Sheet Metal'|davco roofing & sheet metal|false
Deer Park Roofing - Louisville Branch|Deer Park Roofing|KY|1|21|38|58457|311803193|'Deer Park Roofing'|deer park roofing|false
Williamsburg Office|Pyramid Roofing|VA|1|1|15|26415|161755493|'Pyramid Roofing'|pyramid roofing|false
Roof Services of NY|Tecta America LLC|NY|1|21|41|74774|872633595|'Tecta America'|tecta america|false
Bigfoot Roofing & Construction, Inc|Bigfoot Roofing & Construction|FL|1|21|23|47840|452492305|'Bigfoot Roofing & Construction'|bigfoot roofing &|false
Meade Roofing Services|Meade Roofing Services|OH|1|1|7|14448|843693747|'Meade Roofing Services'|meade roofing|false
O'NEAL JR. ROOFING, INC|O'NEAL JR. ROOFING, INC.|FL|1|21|22|42108|264621172|'O'Neal Jr. Roofing'|o'neal jr. roofing|false
CB ROOFING CONSTRUCTION INC|CB ROOFING CONSTRUCTION INC.|FL|1|21|25|40249|271187783|'Cb Roofing Services'|cb roofing|false
CMR CONSTRUCTION & ROOFING, LLC-TN|CMR CONSTRUCTION & ROOFING, LLC|TN|1|21|72|138381|710873844|'CMR Construction & Roofing'|cmr construction & roofing|false
Mueller Corporation|Mueller Corporation|MA|1|21|78|159273|42181206|'Mueller'|mueller|false
STRATUS ROOFING|STRATUS CONSTRUCTION & ROOFING, LLC|FL|1|21|29|57062|474208903|'Stratus Construction & Roofing'|stratus construction & roofing|false
CMR CONSTRUCTION & ROOFING, LLC-FL|CMR CONSTRUCTION & ROOFING, LLC|FL|1|21|132|269252|710873844|'CMR Construction & Roofing'|cmr construction & roofing|false
Kalkreuth Roofing & Sheet Metal, Inc.|Kalkreuth Roofing & Sheet Metal, Inc.|WV|1|22|152|274501|550647319|'Kalkreuth Roofing & Sheet Metal'|kalkreuth roofing & sheet metal|false
Allied Roofing, Inc.|Allied Roofing, Inc.|FL|2|2|45|77640|592690416|'Allied Roofing, Inc.'|allied roofing|false
Hampton Office|Pyramid Roofing|VA|1|1|22|38742|161755493|'Pyramid Roofing'|pyramid roofing|false
Mueller Tennessee Distribution Center|Mueller Co. LLC|TN|1|2|27|48412|363658415|'Mueller'|mueller|false
Main|On Top Roofing LLC|HI|1|1|16|11627|800237026|'On Top Roofing'|on top roofing|false
Nations Roof of IL|Nations Roof|IL|1|21|38|76787|205762830|'Nations Roof'|nations roof|false
Hillside 2|Dynamic Manufacturing|IL|1|3|356|719192|363989759|'Dynamic National'|dynamic|false
Cornerstone Management|Cornerstone Management Services|MN|1|3|663|1082302|301166683|'Cornerstone Construction'|cornerstone|false
Hillside 1|Dynamic Manufacturing|IL|1|3|669|1272877|363989759|'Dynamic National'|dynamic|false
Chowchilla|CertainTeed Corporation|CA|1|22|196|406949|232510893|'CertainTeed'|certainteed|false
Asheville|Baker Roofing|NC|1|1|31|48035|560130810|'Baker Roofing'|baker roofing|false
Baker Service|Baker Roofing|NC|1|1|60|145821|560130810|'Baker Roofing'|baker roofing|false
Birmingham|Baker Roofing|AL|1|1|12|20878|560130810|'Baker Roofing'|baker roofing|false
Bristol|Baker Roofing|VA|1|1|11|21188|560130810|'Baker Roofing'|baker roofing|false
Charleston|Baker Roofing|SC|1|1|53|90529|560130810|'Baker Roofing'|baker roofing|false
Charlotte|Baker Roofing|NC|1|1|66|136499|560130810|'Baker Roofing'|baker roofing|false
Chattanooga|Baker Roofing|TN|1|1|15|36467|560130810|'Baker Roofing'|baker roofing|false
Chesapeake|Baker Roofing|VA|1|1|32|66740|560130810|'Baker Roofing'|baker roofing|false
Coating|Baker Roofing|NC|1|1|11|24627|560130810|'Baker Roofing'|baker roofing|false
Columbia|Baker Roofing|SC|1|1|16|28415|560130810|'Baker Roofing'|baker roofing|false
Garage|Baker Roofing|NC|1|1|9|19346|560130810|'Baker Roofing'|baker roofing|false
Greensboro|Baker Roofing|NC|1|1|49|102120|560130810|'Baker Roofing'|baker roofing|false
Greenville NC|Baker Roofing|NC|1|1|12|20370|560130810|'Baker Roofing'|baker roofing|false
Greenville SC|Baker Roofing|SC|1|1|16|39085|560130810|'Baker Roofing'|baker roofing|false
Harrisonburg, VA|Baker Roofing|VA|1|1|32|66016|560130810|'Baker Roofing'|baker roofing|false
Memphis|Baker Roofing|TN|1|1|7|21576|560130810|'Baker Roofing'|baker roofing|false
Myrtle Beach|Baker Roofing|SC|1|1|14|29105|560130810|'Baker Roofing'|baker roofing|false
Nashville|Baker Roofing|TN|1|1|42|79740|560130810|'Baker Roofing'|baker roofing|false
Orlando|Baker Roofing|FL|1|1|21|36726|560130810|'Baker Roofing'|baker roofing|false
Pensacola|Baker Roofing|FL|1|1|11|20575|560130810|'Baker Roofing'|baker roofing|false
Baker Roofing Corporate|Baker Roofing|NC|1|1|250|540388|560130810|'Baker Roofing'|baker roofing|false
Residential|Baker Roofing|NC|1|1|57|123140|560130810|'Baker Roofing'|baker roofing|false
Residential Branches|Baker Roofing|NC|1|1|16|33727|560130810|'Baker Roofing'|baker roofing|false
Restoration|Baker Roofing|NC|1|1|28|54990|560130810|'Baker Roofing'|baker roofing|false
Savannah, GA|Baker Roofing|GA|1|1|6|11852|560130810|'Baker Roofing'|baker roofing|false
1515 Lake Wheeler/SMS|Baker Roofing|NC|1|1|2|3880|560130810|'Baker Roofing'|baker roofing|false
Special Projects|Baker Roofing|NC|1|1|25|48885|560130810|'Baker Roofing'|baker roofing|false
Tampa|Baker Roofing|FL|1|1|8|14442|560130810|'Baker Roofing'|baker roofing|false
Wilmington|Baker Roofing|NC|1|1|39|62690|560130810|'Baker Roofing'|baker roofing|false
Woodbridge|Baker Roofing|VA|1|1|12|19126|560130810|'Baker Roofing'|baker roofing|false
WP&C|Baker Roofing|NC|1|1|3|5821|560130810|'Baker Roofing'|baker roofing|false
York,PA|Baker Roofing|PA|1|1|4|5699|541136608|'Baker Roofing'|baker roofing|false
Cornerstone|Cornerstone Solutions Group|FL|1|3|265|567361|611632592|'Cornerstone Construction'|cornerstone|false
31 - PORTLAND BRANCH|Beacon Roofing Supply Inc|ME|1|21|21|41184|364173366|'Beacon Roofing Supply'|beacon roofing supply|false
101 - ORANGE BRANCH|Beacon Roofing Supply Inc|CA|1|21|19|37938|364173366|'Beacon Roofing Supply'|beacon roofing supply|false
102 - GARDENA BRANCH|Beacon Roofing Supply Inc|CA|1|21|24|47710|364173366|'Beacon Roofing Supply'|beacon roofing supply|false
112 - SAN BERNARDINO BRANCH|Beacon Roofing Supply Inc|CA|1|21|21|41555|364173366|'Beacon Roofing Supply'|beacon roofing supply|false
