establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
Joliet Home2 Suites|Raymond Management Company|IL|1|21|34|49158|813817343|'Raymond Group'|raymond
Liberty TownePlace Suites|Raymond Management Company|MO|1|21|24|40445|815441585|'Raymond Group'|raymond
Schultheis Roofing Inc.|Schultheis Roofing|PA|1|21|45|80306|251653339|'Schultheis Roofing Inc.'|schultheis roofing
Milliken & Co. Gerrish Plant|Milliken & Co.|SC|1|2|165|328412|510105342|'Milliken & Company'|milliken &
Peach State Roofing Lawrenceville|Peach State Roofing, Inc.|GA|1|22|53|105871|581920786|'Peach State Roofing Inc.'|peach state roofing
Scalo Inc.|Scalo Inc.|PA|1|21|38|67752|232885490|'Scalo Incorporated'|scalo
Crawford Roofing Experts|Crawford Roofing Experts|IL|1|1|16|31041|320359884|'Crawford Roofing Experts LLC'|crawford roofing experts
United States Roofing Corporation|United States Roofing Corporation|PA|1|22|161|244335|231528668|'United States Roofing Corp.'|united states roofing
Performance Roofing LLC|Performance Roofing LLC|FL|1|21|49|63249|205739365|'Performance Roofing Inc.', 'Performance Roofing Systems Inc.'|performance roofing
Baker Service|Baker Roofing|NC|1|1|59|130853|560130810|'Baker Roofing Co.'|baker roofing
Magnolia Finishing Plant|Milliken & Company|SC|1|3|371|798083|510105342|'Milliken & Company'|milliken &
Kreiling Roofing Co|Kreiling Roofing Co|IL|1|22|93|156631|371151409|'Kreiling Roofing Co.'|kreiling roofing
PHRG-BOS|Power Home Remodeling|MA|1|22|103|352320|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG CT|Power Home Remodeling Group|CT|1|22|120|359360|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG DET|Power Home Remodeling|MI|1|22|128|343360|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG PHL/HQ|Power Home Remodeling|PA|1|3|859|2014000|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG NJ|Power Home Remodeling|NJ|1|22|158|474880|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG HOU|Power Home Remodeling|TX|1|22|131|478640|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG LI|Power Home Remodeling|NY|1|22|109|329920|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG MD|Power Home Remodeling|MD|1|22|173|486720|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG TPA|Power Home Remodeling|FL|1|22|154|446800|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG NSH|Power Home Remodeling|TN|1|22|124|370240|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG DEN|Power Home Remodeling|CO|1|22|139|422560|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG DAL|Power Home Remodeling|TX|1|22|139|405760|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG CLT|Power Home Remodeling|NC|1|22|130|369280|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG CHI|Power Home Remodeling|IL|1|22|158|469600|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG AUS|Power Home Remodeling|TX|1|22|146|464240|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG ATL|Power Home Remodeling|GA|1|22|176|486320|233030708|'Power Home Remodeling Group LLC'|power home remodeling
PHRG MD RIO|Power Home Remodeling|MD|1|21|26|102000|233030708|'Power Home Remodeling Group LLC'|power home remodeling
Thoroughbred Contractors LLC|Thoroughbred Contractors LLC|KY|1|21|44|73238|412088912|'Thoroughbred Contractors'|thoroughbred
R.K. Hydro-Vac, PA, Inc|R.K. Hydro-Vac, PA, Inc|PA|1|2|35|66531|311290225|'R.K. Hydro-Vac Inc.'|r.k. hydro-vac
The Garland Company|The Garland Company|OH|1|3|393|809863|341115246|'The Garland Company Inc.'|the garland
Jeffersonville|Boyd Company|IN|1|2|22|41974|610401854|'Boyd Inc.'|boyd
Premier Services|Premier Services|TX|1|2|21|38413|204499270|'Premier Enterprises'|premier
Kato Roofing Inc|Kato Roofing Inc|MN|1|2|37|74847|411730975|'Kato Roofing Inc.'|kato roofing
McCarthy Building Companies, Inc. - NEWPP Central Plant|McCarthy Building Companies|TX|1|21|13|27687|430399290|'McCarthy Building Companies'|mccarthy building companies
McCarthy Building Companies, Inc. - Marine & Industrial Office|McCarthy Building Companies|TX|1|2|65|133428|430399290|'McCarthy Building Companies'|mccarthy building companies
A.H. Sturgill Roofing, Inc.|A.H. Sturgill Roofing, Inc.|OH|1|21|27|41656|311366660|'A.H. Sturgill Roofing Inc.'|a.h. sturgill roofing
Nations Roof of Illinois LLC|Nations Roof|IL|1|21|46|96287|205762830|'Nations Roof', 'Nations Roof LLC'|nations roof
Anthony Roofing Tecta America.com|Anthony Roofing Tecta America|IL|1|21|56|115432|362699848|'Anthony Roofing Tecta America LLC'|anthony roofing tecta america
Nations Roof of Indiana LLC|Nations Roof|IN|1|21|25|55063|822431871|'Nations Roof', 'Nations Roof LLC'|nations roof
Supreme Roofing, LP|Supreme Roofing|TX|1|3|238|561831|823769023|'Supreme Roofing', 'Supreme Roofing Systems'|supreme roofing
International Roofing Corporation|International Roofing Corporation|VA|1|21|24|45271|541500362|'International Roofing Corp.'|international roofing
River City Roofing|River City Roofing|FL|1|1|16|15257|200703878|'River City Roofing', 'River City Roofing Co. Inc.'|river city roofing
CertainTeed|CertainTeed|AL|1|2|78|105943|320613145|'CertainTeed LLC'|certainteed
Tri-State Roofing & Sheet Metal Company|Tri-State Roofing & Sheet Metal|WV|1|1|17|28585|471425515|'Tri-State Roofing & Sheet Metal Company'|tri-state roofing & sheet metal
St Cloud - BIC|Braun Intertec Corp.|MN|1|1|21|41228|411684205|'Braun Intertec Corp.'|braun intertec
Smart Roofing, INc.|Smart Roofing, Inc.|IL|1|1|12|11000|363902208|'Smart Roofing Inc.'|smart roofing
4057_7882|Pro Services|MI|2|3|300|602835|383637535|'Pro Services CO LLC'|pro
Great Wolf Lodge|Great Lakes Services LLC|PA|1|3|778|1161693|271371313|'Great Lakes Systems Inc.'|great lakes
Atlas Molded Products, A Division of Atlas Roofing Corporation|Atlas Roofing Corporation|IA|1|21|51|97809|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing
Parsons Company INC|Parsons Company INC|IL|1|2|271|551924||'Parsons Corporation'|parsons
Atlas Molded Products - Denver|Atlas Roofing|CO|1|21|25|44567|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing
GreenWood, Inc. - Morgan Advanced Materials|GreenWood, Inc.|GA|1|21|35|68870|570967122|'Greenwood Industries Inc.'|greenwood
Great Lakes Management GTHI Seven Hills Senior Living|Great Lakes Management|MN|1|2|49|62252|203937802|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management GTHI Talamore St. Cloud|Great Lakes Management|MN|1|2|92|86206|203937802|'Great Lakes Systems Inc.'|great lakes
Newburgh Office|Titan Roofing, Inc|NY|1|21|25|48589|042630303|'Titan Roofing'|titan roofing
Advanced Roofing, Inc.|Advanced Roofing, Inc.|MI|1|21|21|32700|382819536|'Advanced Roofing Inc.', 'Advanced Roofing Services Inc.', 'Advanced Roofing Systems Inc.', 'Advanced Roofing Systems Ltd.'|advanced roofing
Laraway Roofing, Inc.|Laraway Roofing, Inc.|MN|1|1|9|16690|410986127|'Laraway Roofing Inc.'|laraway roofing
Club Horizon Psychosocial Rehabilitation|Monarch|NC|1|1|4|8240|561326126|'Monarch Consulting Services'|monarch
Hoke Street Group Home|Monarch|NC|1|1|4|7724|561326126|'Monarch Consulting Services'|monarch
Monarch Behavioral Health Urgent Care|Monarch|NC|1|1|26|21945|561326126|'Monarch Consulting Services'|monarch
Schooner Shores Group Home|Monarch|NC|1|1|4|6803|561326126|'Monarch Consulting Services'|monarch
Seawell Street Group Home|Monarch|NC|1|1|4|9416|561326126|'Monarch Consulting Services'|monarch
Second Street Group Home|Monarch|NC|1|1|11|13532|561326126|'Monarch Consulting Services'|monarch
Simbelyn Group Home|Monarch|NC|1|1|7|12513|561326126|'Monarch Consulting Services'|monarch
Southgate Group Home|Monarch|NC|1|1|5|7982|561326126|'Monarch Consulting Services'|monarch
Southridge Road Group Home|Monarch|NC|1|1|12|20423|561326126|'Monarch Consulting Services'|monarch
Spencer's Place Group Home|Monarch|NC|1|1|4|8587|561326126|'Monarch Consulting Services'|monarch
Wayfarer Court Group Home|Monarch|NC|1|1|6|12664|561326126|'Monarch Consulting Services'|monarch
Shay Roofing Inc.|Shay Roofing INC.|IL|1|21|65|99555|371298422|'Shay Roofing Inc.'|shay roofing
JM Eagle PCP|JM Manufacturing|CA|1|1|10|19436|840895616|'JM Contractors Inc'|jm
Dynamic National|Dynamic Holdings|FL|1|21|47|83776|832750109|'Dynamic National'|dynamic
Cooper Roofing & Solar|Cooper Roofing & Solar Inc.|NV|1|21|11|23909|270365569|'Cooper Roofing & Solar INC'|cooper roofing & solar
Dynamic Systems INC|Dynamic Systems INC|NY|1|2|50|90024|274258481|'Dynamic National'|dynamic
Gluth Brothers Roofing Company Inc.|Gluth Brothers Roofing Company Inc.|IN|1|21|58|88606|351850178|'Gluth Brothers Roofing Co. Inc.'|gluth brothers roofing
Millwork & Panel LLC- Social Circle|CertainTeed LLC|GA|1|21|58|107546|320613145|'CertainTeed LLC'|certainteed
Greenwood Industries CT|Greenwood Industries|CT|1|21|65|130886|043165907|'Greenwood Industries Inc.'|greenwood
Monahan & Loughlin|Greenwood Industries|NY|1|21|45|90613|834328471|'Greenwood Industries Inc.'|greenwood
Apollo Roofing and Sheet Metal|Greenwood Industries|RI|1|21|39|77691|821688474|'Greenwood Industries Inc.'|greenwood
Parsippany|RCI LLC|NJ|1|1|12|3525|223530212|'RCI Services LLC'|rci
Indianapolis|RCI, LLC|IN|1|21|33|56421|223530212|'RCI Services LLC'|rci
Continental Tire the Americas LLC - Sumter Plant|Continental Tire the Americas LLC|SC|1|3|1386|2890578||'Continental Tire the Americas LLC.'|continental tire the americas
Birmingham|Baker Roofing|AL|1|1|15|31614|560130810|'Baker Roofing Co.'|baker roofing
Englert Inc|Englert Inc|NJ|1|22|180|416387||'Englert Inc.'|englert
HRGM Corporation|HRGM Corporation|DC|1|21|60|106232|541144392|'HRGM Corp.'|hrgm
Clark Roofing Co.|Clark Roofing Co.|IL|1|21|99|182197|362135661|'Clark Roofing Co.', 'Clark Roofing Inc.'|clark roofing
Spring Sheet Metal & Roofing LLC|Spring Sheet Metal & Roofing, LLC|NY|1|21|40|69333|814111885|'Spring Sheet Metal & Roofing, LLC'|spring sheet metal & roofing
Corporate|Corporate|MN|1|21|101|160460|411989305|'Corporate Contractors Inc.'|corporate
Merit Contracting|Merit Contracting|MN|1|2|76|130093|411426936|'Merit Contracting Inc.'|merit contracting
Turner Roofing Company LTD|Turner Roofing Company LTD|TX|1|21|60|82631|742271636|'Turner Roofing Co.'|turner roofing
Hicks Roofing Inc|Hicks Roofing|OH|1|21|24|32959|340764898|'Hicks Roofing Co. Inc.'|hicks roofing
US Gypsum Oakfield|USG|NY|1|22|108|217979|361898410|'USG Corporation'|usg
ALLIED CONSTRUCTION MANAGEMENT|ALLIED CONSTRUCTION MANAGEMENT|NJ|1|2|63|112018|223558617|'Allied Construction Services'|allied
Boise Home2 Suites|Raymond Management Company|ID|1|21|34|57209|834423287|'Raymond Group'|raymond
Mason Hilton Garden Inn|Raymond Management Company|OH|1|21|45|50614|843359503|'Raymond Group'|raymond
Overland Park Residence Inn|Raymond Management Company|KS|1|21|25|40137|852574397|'Raymond Group'|raymond
Overland Park Fairfield Inn & Suites|Raymond Management Company|KS|1|21|22|36651|852595610|'Raymond Group'|raymond
Kansas City Residence Inn|Raymond Management Company|MO|1|21|29|53479|852624092|'Raymond Group'|raymond
Madison Hilton Garden Inn|Raymond Management Company|WI|1|21|48|62393|852676044|'Raymond Group'|raymond
St Paul Hampton Inn & Suites|Raymond Management Company|MN|1|21|37|62393|852638729|'Raymond Group'|raymond
Portland Hampton Inn & Suites|Raymond Management Company|OR|1|21|48|87401|812723252|'Raymond Group'|raymond
Rackley Roofing Co Inc|Rackley Roofing Co Inc|TN|1|22|93|244060|620932570|'Rackley Roofing Co. Inc.'|rackley roofing
Gordon Contractors Inc.|Gordon Contractors Inc.|MD|1|21|76|143752|412043935|'Gordon Contractors Inc.'|gordon
Interstate Construction Development Company|Interstate Construction Development Company|MD|1|22|107|193090|522190821|'Interstate Corp.'|interstate
Pfeifer Roofing, Inc|Pfeifer Roofing, Inc.|OR|1|21|66|127790|931225470|'Pfeifer Roofing Inc.'|pfeifer roofing
G&L Tube LLC|O'Neal Industries|TN|1|22|151|312011|842568461|'O'Neal Construction'|o'neal
Peterson Cotractors, Inc.|Peterson Contractors Inc.|IA|1|3|529|1327623|420921654|'Peterson Consulting Group'|peterson
Spann Roofing & Sheet Metal, Inc.|Spann Roofing & Sheet Metal, Inc.|SC|1|21|76|156280|570373011|'Spann Roofing & Sheet Metal Inc.'|spann roofing & sheet metal
Atlas Fabrication, LLC|Atlas Fabrication, LLC|OK|1|21|27|52990|823064794|'Atlas Fabrication'|atlas fabrication
Ark Roofing|Ark Roofing|TN|1|1|15|600|450477569|'Ark Roofing Co. Inc.'|ark roofing
J&B Installations, Inc.|J&B Installations, Inc.|NY|1|21|81|94352|161160437|'J&B Installations Inc.'|j&b installations
Warren Roofing & Insulating Company|Warren Roofing & Insulating Company|OH|1|2|161|166679|340604460|'Warren Roofing & Insulating Co.'|warren roofing & insulating
Branch Office|Modern Roofing, Inc.|MI|1|21|65|104974|382184928|'Modern Roofing Inc.', 'Modern Roofing LLC'|modern roofing
Celoseal Roofing Inc.|Celoseal Roofing Inc.|CA|1|21|70|115000|952647166|'Celoseal Roofing Inc.'|celoseal roofing
Stickney WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3|668|1119809||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago
O'Brien WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|188|313089||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago
Main Office Building Annex (MOBA)|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3|234|255644||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago
Main Office Building (MOB)|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|285|384313||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago
Kirie WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|44|76616||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago
Hanover Park WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|22|36910||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago
Egan WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|65|110629||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago
Calumet WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3|263|434960||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago
Diamond Roofing Systems, LLP|Diamond Roofing Systems|OH|1|21|36|80285|462010388|'Diamond Roofing', 'Diamond Roofing Co. Inc.', 'Diamond Roofing Systems'|diamond roofing
North Central Insulation, INC|North Central Insulation, INC|OH|1|22|15|26579|341521877|'North Central Insulation'|north central insulation
TMJ Construction Services|TMJ Construction Services|IA|1|21|45|46645|542149654|'TMJ Construction Services LLC'|tmj
All Seasons Roofing, LLC|All Seasons Roofing, LLC|MO|1|1|20|41137|204885966|'All Seasons Roofing LLC'|all seasons roofing
Klein Contracting|Klein Contracting|GA|1|21|48|94290|581848504|'Klein Contracting Corp.'|klein contracting
The Original Roofing Company|The Original Roofing Company|NV|1|22|240|482638|562335100|'The Original Roofing Company'|the original roofing
Continental Tire the Americas, LLC|Continental Tire the Americas LLC|GA|1|3|291|557133|341417030|'Continental Tire the Americas LLC.'|continental tire the americas
McCarthy Building Companies, Inc.|McCarthy Building Companies, Inc.|MO|1|3|340|932683|430399290|'McCarthy Building Companies'|mccarthy building companies
Patriot Roofing|Patriot Roofing|WA|1|21|48|107708|454206993|'Patriot Roofing', 'Patriot Roofing LLC'|patriot roofing
MONARCH, Inc.|MONARCH, INC.|OK|1|21|45|93600|731209599|'Monarch Consulting Services'|monarch
6651_15529|WWRC,Inc.|NM|1|21|39|61450|850424702|'WWRC Inc.'|wwrc
Cross Technologies Inc Nissan Canton|Cross Technologies Inc|MS|1|2|26|52160|560600094|'Cross Construction CO. INC.'|cross
Cross Technologies Inc Nissan Smyrna|Cross Technologies Inc|TN|1|2|35|71063|560600094|'Cross Construction CO. INC.'|cross
Cross Technologies Inc Oklahoma City|Cross Technologies Inc|OK|1|2|44|95370|560600094|'Cross Construction CO. INC.'|cross
Cross Technologies Inc Whitsett|Cross Technologies Inc|NC|1|2|90|192433|560600094|'Cross Construction CO. INC.'|cross
Cross Technologies Inc Knoxville|Cross Technologies Inc|TN|1|21|61|127583|560600094|'Cross Construction CO. INC.'|cross
Global Roofing Group|Global Roofing Group|AZ|1|3|548|931124|860254394|'Global Roofing Group'|global roofing
Pickens Contracting, Inc.|Pickens Contracting, Inc.|SC|1|21|87|222037|570481031|'Pickens Contracting Inc.'|pickens contracting
PAPT - AIS|AIS|PA|1|2|50|107244|251399868|'AIS Construction Inc'|ais
NMS 100 Hecate|McCarthy Building Companies, Inc.|OH|1|1|9|18995|430399290|'McCarthy Building Companies'|mccarthy building companies
Bright Arrow|McCarthy Building Companies, Inc.|TX|1|21|53|110309|430399290|'McCarthy Building Companies'|mccarthy building companies
DDP Roofing Services Inc.|DDP Roofing Services Inc.|PA|1|22|110|221153|201214720|'DDP Roofing Services Inc.'|ddp roofing
Wicks Roofing|Wicks Roofing|CA|1|22|122|254990|770418522|'Wicks Roofing Inc'|wicks roofing
Greenville SC|Baker Roofing|SC|1|1|21|43357|560130810|'Baker Roofing Co.'|baker roofing
Baker Roofing Corporate|Baker Roofing|NC|1|1|247|537716|560130810|'Baker Roofing Co.'|baker roofing
Residential|Baker Roofing|NC|1|1|45|89668|560130810|'Baker Roofing Co.'|baker roofing
Residential Branches|Baker Roofing|NC|1|1|20|31576|560130810|'Baker Roofing Co.'|baker roofing
Behavioral Health-Cleveland (West Marion Street)|Monarch|NC|1|1|16|22083|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Guilford (Northline Avenue)|Monarch|NC|1|2|27|49248|561326126|'Monarch Consulting Services'|monarch
Crescent Manufacturing|Crescent Manufacturing|NY|1|2|197|337467|222998620|'Crescent Construction Services'|crescent
Axiom Division 7|Axiom Division 7|WA|1|22|190|404556|261489962|'Axiom Division 7 Inc.'|axiom division 7
Leading Builders Group LLC (Master)|AECOM|NY|1|2|123|331908||'AECOM'|aecom
Tishman Construction Corporation|AECOM|NY|1|3|1207|1848797||'AECOM'|aecom
Tecta America Arizona|Tecta America Arizona|AZ|1|21|70|145299|261143045|'Tecta America Arizona LLC'|tecta america arizona
Sheet Metal|Metal Alliance, Inc.|PA|1|21|29|56008|232749020|'Metal Alliance, Inc.'|metal alliance
Hunt Construction Group|AECOM|IN|1|3|828|1600005||'AECOM'|aecom
Maintenance Inc.|Maintenance Inc.|TX|1|1|10|19177|751423619|'Maintenance Management Inc.'|maintenance
Rite-Way Roof Corporation|Rite-Way Roof Corporation|CA|1|21|50|67769|330978921|'Rite-Way Roof Corporation'|rite-way roof
Business Interiors|Facilitech, Inc.|TX|1|22|112|224083|752253859|'Facilitech Construction Group'|facilitech
Interstate Ventures|Interstate Ventures|TN|1|21|38|105501|943422031|'Interstate Corp.'|interstate
Associated Roofing Professionals, LLC|Associated Roofing Professionals, LLC|IN|1|21|18|28890|351844713|'Associated Roofing Professionals Inc.'|associated roofing professionals
Great Lakes Management GTHI Talamore Sun Prairie|Great Lakes Management|WI|1|21|8|85785|203937802|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management GTHI Amira Choice Bloomington|Great Lakes Management|MN|1|2|95|101436|203937802|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management GTHI Hayden Grove|Great Lakes Management|MN|1|2|93|97227|203937802|'Great Lakes Systems Inc.'|great lakes
Dickson Company|Dickson Company|WA|1|2|144|259019|910779580|'Dickson Contractors Inc.'|dickson
Fort Worth Residence Inn|Raymond Management Company|TX|1|21|28|44337|851015646|'Raymond Group'|raymond
Sullivan Roofing Inc|Sullivan Roofing|IL|1|21|62|130586|364256185|'Sullivan Roofing Inc.'|sullivan roofing
Crescent Park Corporation - C-11|Crescent Corporation|OH|1|2|167|494767|311222308|'Crescent Construction Services'|crescent
Precision Manufacturing Group Inc|Precision Manufacturing Group Inc|MI|1|21|21|36936|833049373|'Precision Construction Services'|precision
EFI, Inc.|EFI, Inc.|MI|1|2|74|152646||'EFI Global Inc'|efi
Owens Corning|Owens Corning|SC|1|21|42|87451||'Owens Corning'|owens corning
Anderson Development Company|Anderson Development Company|MI|1|2|128|254049||'Anderson Associates'|anderson
Pioneer Roofing, A Tecta America Company, LLC|Pioneer Roofing, A Tecta America Company, LLC|WI|1|21|51|101277|874105658|'Pioneer Roofing, a Tecta America Company, LLC'|pioneer roofing, a tecta america
United Regional Health Care System|United Regional|TX|1|1|2131|3469300|751912147|'United Contractors'|united
United Regional Physician's Group|United Regional|TX|1|1|212|349613|752925491|'United Contractors'|united
Wichita Falls Endoscopy Center|United Regional|TX|1|1|22|36117|752549298|'United Contractors'|united
Allen Roofing & Siding, LLC.|Allen Roofing & Siding, LLC.|MO|1|22|100|159495|881581570|'Allen Roofing & Siding'|allen roofing & siding
White Castle Lincoln|White Castle Roofing|NE|1|22|191|392715|753006516|'White Castle Roofing'|white castle roofing
Myers industries|Myers|WA|1|22|110|281730|274548639|'Myers Consulting'|myers
United Construction Co Inc|United Construction Co Inc.|WV|1|2|102|204559|550676159|'United Contractors'|united
The Fania Company|The Fania Company|NJ|1|2|36|73064|221501476|'The Fania Co.'|the fania
Bornor Restoration Inc|Bornor Restoration Inc|MI|1|2|37|70050|381865292|'Bornor Restoration Inc.'|bornor restoration
ASPEN MANUFACTURING LLC|ASPEN MANUFACTURING LLC|TX|1|3|283|687810|453120278|'Aspen Group'|aspen
Owens Corning Gastonia|Owens Corning|NC|1|2|80|151842|743189734|'Owens Corning'|owens corning
Huntsman Building Solutions - Arlington TX|Huntsman Building Solutions|TX|1|2|82|167215|463224688|'Huntsman Building Solutions'|huntsman building
Premier Industries|Premier Industries|MI|1|21|27|48839|872490829|'Premier Enterprises'|premier
Western Building Group|BEMO USA|AZ|1|22|218|453517|261333411|'BEMO USA Corp.'|bemo usa
Haydon Corporation CA|Haydon Corporation|CA|1|21|60|134010||'Haydon Corporation'|haydon
Haydon Corporation NJ|Haydon Corporation|NJ|1|22|147|321633||'Haydon Corporation'|haydon
Haydon Corporation TX|Haydon Corporation|TX|1|21|43|109191||'Haydon Corporation'|haydon
DePinho Roofing, Inc.|DePinho Roofing, Inc.|CA|1|21|70|135735|330589690|'DePinho Roofing'|depinho roofing
CRAWFORD ROOFING INC.|CRAWFORD ROOFING INC.|OK|1|21|41|52121|730951924|'Crawford Roofing Corp.', 'Crawford Roofing Inc.'|crawford roofing
Gustav Keoni dba Precision Construction Services|Precision Construction Services|CA|1|21|43|73579||'Precision Construction Services'|precision
Owens Corning Compton Roofing & Asphalt|Owens Corning|CA|1|2|128|293642||'Owens Corning'|owens corning
ATLAS ROOFING CORPORATION|ATLAS ROOFING CORPORATION|TX|1|2|107|274714|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing
Boak & Sons, Inc.|Boak & Sons, Inc.|OH|1|22|141|241700|341368121|'Boak & Sons Inc.'|boak & sons
Blair Rubber Company|IKO Industries LTD|OH|1|21|55|120672|341351173|'IKO Industries'|iko
Restoration Systems Inc.|Restoration Systems Inc.|MN|1|2|82|113531|411890683|'Restoration Services Inc.'|restoration
MRC Roofing, LLC|MRC Roofing, LLC|HI|1|21|32|53469|274488625|'MRC Roofing LLC'|mrc roofing
Commonwealth Building Inc.|Commonwealth Building Inc.|MA|1|2|37|76960|042706053|'Commonwealth Building Systems LLC'|commonwealth building
Delmar Plant|Owens Corning|NY|1|3|280|520221||'Owens Corning'|owens corning
Summit Engineering, Inc.|Summit Engineering, Inc.|KY|1|2|42|86166|610991104|'Summit Engineering Consulting'|summit engineering
Weathercraft Co. of Lincoln|Weathercraft Co. of Lincoln|NE|1|21|55|102544|470527585|'Weathercraft Co. of Lincoln'|weathercraft co. of lincoln
DB2 Services Inc|DB2 Services Inc|KS|1|21|90|93467|264075785|'DB2 Services Inc.'|db2
Precision Industries Inc.|Precision Industries|GA|1|21|56|107831|480758278|'Precision Construction Services'|precision
Great Lakes Manufacturing|Great Lakes Manufacturing|PA|1|2|97|209585|232922556|'Great Lakes Systems Inc.'|great lakes
Harness Roofing TX|Harness Roofing, Inc.|AR|1|1|7|15428|710654212|'Harness Roofing Inc.'|harness roofing
Willham Roofing Co. Inc.|Willham Roofing Co. Inc.|OH|1|21|24|63137||'Willham Roofing Co. Inc.'|willham roofing
GM Construction LLC|GM Construction LLC|NV|1|21|97|134879|472223810|'GM Consulting LLC'|gm
Elkhart Plastics|Myers|CO|1|21|65|135200|853336691|'Myers Consulting'|myers
Building Envelope Systems|Building Envelope Systems|MA|1|21|77|136026|454071476|'Building Envelope Contractors Inc.'|building envelope
Dry Ridge|Boyd Company|KY|1|1|18|37751|610401854|'Boyd Inc.'|boyd
Hopkinsville|Boyd Company|KY|1|1|15|31150|610401854|'Boyd Inc.'|boyd
Jackson|Boyd Company|OH|1|1|12|25088|610401854|'Boyd Inc.'|boyd
Jeffersontown|Boyd Company|KY|1|2|50|95952|610401854|'Boyd Inc.'|boyd
JM Manufacturing|JM Manufacturing|PA|1|21|80|159875|940895616|'JM Contractors Inc'|jm
Carlson Racine Roofing and Sheet Metal Inc.|Carlson Racine Roofing and Sheet Metal Inc.|WI|1|21|47|80927|390833065|'Carlson Racine Roofing and Sheet Metal Inc.'|carlson racine roofing and sheet metal
Palmer Services LLC|Palmer Services LLC|TX|1|2|59|128770|308939364|'Palmer Construction'|palmer
Tiffin OH Soltech Owens Corning|Owens Corning|OH|1|21|65|130416|432109021|'Owens Corning'|owens corning
CRW Inc|CRW Inc|OH|1|21|65|138580|341576048|'CRW Inc.'|crw
Independent Roofing Company Inc|Independent Roofing Company Inc|NE|1|21|35|48376|470410807|'Independent Roofing Company Inc.', 'Independent Roofing Systems Inc.'|independent roofing
GSM Roofing (Total Company)|GSM Roofing|PA|1|22|101|195578|232553249|'GSM Roofing'|gsm roofing
Hilton Boston Woburn|Interstate management company LLC|MA|1|22|147|169788|522101817|'Interstate Corp.'|interstate
Capitol Roofing Inc.|Capitol Roofing Inc.|WY|1|21|26|52000|830328938|'Capitol Roofing Inc.'|capitol roofing
RME LTD, LLC DBA Elite Surface Infrastructure|ESI|CO|1|3|293|650567|841480842|'ESi'|esi
Mountain States Roofing, Incorporated|Mountain States Roofing, Incorporated|ID|1|21|37|46742|261702268|'Mountain States Roofing Inc.'|mountain states roofing
Sparrow Capital Partners LLC|Sparrow Capital Partners LLC|TX|1|3|258|16931|821681055|'Sparrow Construction'|sparrow
ASU Mill Avenue Garage|McCarthy Building Companies, Inc.|AZ|1|21|52|107629|430399290|'McCarthy Building Companies'|mccarthy building companies
YUHSD - Somerton High School|McCarthy Building Companies, Inc.|AZ|1|1|5|10922|430399290|'McCarthy Building Companies'|mccarthy building companies
