establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
FD Thomas|AIS|OR|1|3|25|1574247||'AIS Construction Inc'|ais|false
J&B Installations, Inc.|J&B Installations, Inc.|NY|1|2|72|100759|161160437|'J&B Installations Inc.'|j&b installations|false
Atlas Roofing|Atlas Roofing|MO|1|2|39|83941|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Delta Innovative Services Inc|Delta Innovative Services|KS|1|2|125|229159|200820115|'Delta Innovative Services'|delta innovative|false
DB2 Services Inc|DB2 Services Inc|KS|1|2|67|118198|264075785|'DB2 Services Inc.'|db2|false
Diamond Roofing Systems, LLP|Diamond Roofing Systems|OH|1|2|42|98017|462010388|'Diamond Roofing', 'Diamond Roofing Co. Inc.', 'Diamond Roofing Systems'|diamond roofing|true
Precision Industries Inc.|Precision Industries|GA|1|2|40|106992|480758278|'Precision Construction Services'|precision|false
Kleinfelder|Kleinfelder|CA|1|3|2165|3853919|941532513|'Kleinfelder, Inc'|kleinfelder|false
Bornor Restoration Inc|Bornor Restoration Inc|MI|1|2|34|65163|381865292|'Bornor Restoration Inc.'|bornor restoration|false
6651_15529|WWRC, Inc.|NM|1|2|35|45061|850424702|'WWRC Inc.'|wwrc|false
Klein Contracting|Klein Contracting|GA|1|2|42|76704|581848504|'Klein Contracting Corp.'|klein contracting|false
Mint Roofing|Mint Roofing|MN|1|2|51|77621|810389786|'Mint Roofing Inc.'|mint roofing|false
Great Lakes Manufacturing|Great Lakes Manufacturing|PA|1|2|91|197592|232922556|'Great Lakes Systems Inc.'|great lakes|false
Highland Roofing Company Inc|Highland Roofing Company Inc|KY|1|2|78|102084|610648151|'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing|true
Hertless Brothers Roofing, Inc.|Hertless Brothers Roofing, Inc.|VA|1|2|20|37480|202009976|'Hertless Brothers Roofing Inc.'|hertless brothers roofing|false
United Construction Co Inc|United Construction Co Inc.|WV|1|2|130|282705|550676159|'United Contractors'|united|false
Western Pacific Roofing- Palm Springs|Western Pacific Roofing Corp.|CA|1|2|22|44875|952386834|'Western Pacific Roofing Corp.'|western pacific roofing|false
Western Pacific Roofing- Palmdale|Western Pacific Roofing Corp.|CA|1|2|38|78290|952386834|'Western Pacific Roofing Corp.'|western pacific roofing|false
Register Roofing & Sheet Metal, Inc.|Register Roofing & Sheet Metal, Inc.|FL|1|2|83|161784|542069021|'Register Roofing & Sheet Metal Inc.'|register roofing & sheet metal|false
Jeff Eubank Roofing|Jeff Eubank Roofing|TX|1|2|61|140113|752250258|'Jeff Eubank Roofing Co. Inc.'|jeff eubank roofing|false
Jamestown Roofing, Inc|Jamestown Roofing, Inc.|NY|1|2|35|44292|160763355|'Jamestown Roofing Inc.'|jamestown roofing|false
Harness Roofing HS|Harness Roofing, Inc.|AR|1|2|52|107420|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing SD|Harness Roofing, Inc.|AR|1|2|70|144604|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing FS|Harness Roofing, Inc.|AR|1|2|50|103289|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing LR|Harness Roofing, Inc.|AR|1|2|36|74368|710654212|'Harness Roofing Inc.'|harness roofing|false
