company_name|ein|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024|pitchbook_list_website|pitchbook_list_company_name|top100_company_name|nrca_list_company_name|affinity_organizations_20250915_141926_company_name|osha_company_name|stripped_company_name
Crawford Roofing Experts|320359884|24|20|22|18|16|35539|38714|29009|34146|31041||||Crawford Roofing Experts LLC||Crawford Roofing Experts|crawford roofing experts
Crego Roofing Of New Mexico LLC|844364480|0|0|0|7|6|0|0|0|11766|10283||||||Crego Roofing Of New Mexico LLC|crego roofing of new mexico
Crocker Architectural Sheet Metal Co., Inc.||39|36|0|40|42|75704|64560|0|75448|76980||||||Crocker Architectural Sheet Metal Co., Inc.|crocker architectural sheet metal
Crosby Roofing & Gutters LLC|272024220|0|23|0|0|0|0|41860|0|0|0||||||Crosby Roofing & Gutters LLC|crosby roofing & gutters
Crown Roofing & Waterproofing|473584356|0|0|0|300|250|0|0|0|950000|1900000||||||Crown Roofing & Waterproofing|crown roofing & waterproofing
Crowther Roofing and Sheet Metal, Inc.||50|50|50|50|50|75371|62551|68555|65394|70310|www.crowtherroofing.com|Crowther Roofing & Sheet Metal||Crowther Roofing & Sheet Metal Inc.||Crowther Roofing and Sheet Metal, Inc.|crowther roofing & sheet metal
Cuddy Roofing Company Inc|251664799|40|15|15|18|24|48487|30632|31431|34094|42499||||||Cuddy Roofing Company Inc|cuddy roofing
Culbertson Company of Virginia,LLC|141873375|0|130|140|0|177|0|229786|199994|0|333728||||||Culbertson Company of Virginia,LLC|culbertson company of virginiallc
Curtis C Roofing|815469280|103|115|135|83|60|155964|169061|43000|55737|91058||||||Curtis C Roofing|curtis c roofing
Curtis-McKinley Roofing & Sheet Metal Inc.|752083478|43|33|34|39|35|82745|73081|66711|82109|64498||||||Curtis-McKinley Roofing & Sheet Metal Inc.|curtis-mckinley roofing & sheet metal
Custofoam Corp.|391178726|25|18|21|23|24|29275|20007|36370|34768|40355||||Custofoam Corp.||Custofoam Corp.|custofoam
Custom Coatings, Inc.|561921133|0|0|24|24|29|0|0|54945|31600|50313||||||Custom Coatings, Inc.|custom coatings
Custom Installations, Inc|363846505|0|0|0|25|25|0|0|0|44300|44300||||||Custom Installations, Inc|custom installations
D Peck Roofing Inc|650738224|33|34|33|41|37|15109|15590|15363|19512|17699||||||D Peck Roofing Inc|d peck roofing
D&L Roofing, LLC|272001551|0|0|61|58|65|0|0|86638|80831|95371||||D&L Roofing LLC||D&L Roofing, LLC|d & l roofing
D. C. Taylor Co|420839633|0|254|121|288|0|0|444318|207457|429065|0||||||D. C. Taylor Co|d. c. taylor
D> C. Taylor Co||0|8|0|0|0|0|13656|0|0|0||||||D> C. Taylor Co|d> c. taylor
DAMSCHRODER ROOFING INC|342037110|36|37|40|49|61|49187|62298|73066|83942|116520||||Damschroder Roofing LLC||DAMSCHRODER ROOFING INC|damschroder roofing
DAN SHEPLER ROOFING, INC.|202668197|17|18|17|32|0|33839|30341|28123|56426|0||||||DAN SHEPLER ROOFING, INC.|dan shepler roofing
DAVID & LISA ENTERPRISES, INC.|464378595|27|22|19|40|0|38887|32364|29775|52690|0||||||DAVID & LISA ENTERPRISES, INC.|david & lisa
DB2 Services Inc|264075785|0|0|67|76|90|0|0|118198|127918|93467||||DB2 Services Inc.||DB2 Services Inc|db2
DCG Roofing Solutions, Inc|205216594|63|78|80|75|123|84974|88408|112093|101789|135539||||DCG Roofing Solutions||DCG Roofing Solutions, Inc|dcg roofing
DDP Roofing Services Inc.|201214720|0|96|98|110|110|0|238429|275111|229323|221153||||DDP Roofing Services Inc.||DDP Roofing Services Inc.|ddp roofing
DDR Roofing LLC dba DDR Quality Roofing & Sheet Metal|261188315|29|22|19|0|0|58240|43120|37500|0|0||||||DDR Roofing LLC dba DDR Quality Roofing & Sheet Metal|ddr roofing llc dba ddr quality roofing & sheet metal
DE MELLO ROOFING INC|942221475|0|0|26|50|28|0|0|9053|82680|36899||||||DE MELLO ROOFING INC|de mello roofing
DESIGNED ROOFING SYSTEMS, INC.|371270061|0|19|22|0|0|0|25860|34673|0|0||||||DESIGNED ROOFING SYSTEMS, INC.|designed roofing
DI PASQUA CONSTRUCTION, INC.|203128070|0|20|13|21|16|0|20254|22574|20511|23396||||||DI PASQUA CONSTRUCTION, INC.|di pasqua
DIAMOND ROOFING|465371765|0|0|0|0|82|0|0|0|0|179088||||Diamond Roofing Systems||DIAMOND ROOFING|diamond roofing
DKG & Associates Inc.|742816319|0|0|74|88|170|0|0|152720|171632|347714||||DKG & Associates Inc.||DKG & Associates Inc.|dkg
DLJ Commercial Roofing LLC|271337110|0|20|21|21|18|0|41847|34906|31000|16676||||||DLJ Commercial Roofing LLC|dlj commercial roofing
DR Martineau Construction Inc|411821411|35|45|48|50|48|85000|63936|65817|96000|33189||||||DR Martineau Construction Inc|dr martineau
DR Roof Inc|371781779|0|0|48|50|45|0|0|97920|93000|2040||||||DR Roof Inc|dr roof
DRS of Central Florida, Inc.|593327076|28|22|20|0|20|42255|45760|37091|0|39766||||||DRS of Central Florida, Inc.|drs of central florida
DSRC Services LLC|870843373|0|66|65|67|50|0|45042|125331|181541|131118||||||DSRC Services LLC|dsrc
Daech & Bauer Roofing Company Inc.|474922381|1|2|0|0|0|1960|2599|0|0|0||||||Daech & Bauer Roofing Company Inc.|daech & bauer roofing
Dakota Corp dba Jessie Bryant Roofing||50|0|0|50|50|110051|0|0|142589|115165||||||Dakota Corp dba Jessie Bryant Roofing|dakota corp dba jessie bryant roofing
Dale Crampton Company|710383793|24|22|23|22|0|49102|42724|43998|30224|0||||||Dale Crampton Company|dale crampton
Dalex Construction Inc|352250654|19|22|19|17|20|34604|40165|32771|29758|34909||||||Dalex Construction Inc|dalex
Daniel Best Roofing  Inc|883014418|0|0|0|0|10|0|0|0|0|4160||||||Daniel Best Roofing  Inc|daniel best roofing
Danny Letner Inc|330603152|360|0|0|0|0|776829|0|0|0|0||||||Danny Letner Inc|danny letner
Daugherty Construction Inc|341617760|24|23|40|23|0|47751|40263|41087|38487|0||||Daugherty Construction Inc.||Daugherty Construction Inc|daugherty
Davco Roofing & Sheet Metal|263102788|0|0|0|60|63|0|0|0|101772|82359|www.davcoroofing.com|Davco Roofing & Sheet Metal||DAVCO Roofing & Sheet Metal Inc.||Davco Roofing & Sheet Metal|davco roofing & sheet metal
David J Marley Roofing Contractors Inc|455407399|0|0|21|23|21|0|0|42386|47074|42251||||||David J Marley Roofing Contractors Inc|david j marley roofing
David J. Hyde & Associates Inc|431508562|0|0|0|15|0|0|0|0|25537|0||||||David J. Hyde & Associates Inc|david j. hyde
David Lundberg Bldg & Roofing Contractor|542131055|29|0|0|31|27|48682|0|0|68808|58506||||||David Lundberg Bldg & Roofing Contractor|david lundberg bldg & roofing contractor
David Lundberg Building & Roofing Contractor|526111824|0|0|33|31|27|0|0|71185|68808|58506|www.lundbergroofing.com|David Lundberg Building & Roofing Contractor||||David Lundberg Building & Roofing Contractor|david lundberg building & roofing contractor
David M. Maines Associates, Inc.|232581270|81|89|95|91|98|157510|180154|184106|191093|183422||||David M. Maines Associates Inc.||David M. Maines Associates, Inc.|david m. maines
David Swihart Roofing Inc|454320614|0|0|0|0|28|0|0|0|0|49385||||||David Swihart Roofing Inc|david swihart roofing
Davis Roofing & Sheetmetal, LLC|461564244|24|22|20|18|23|27004|38534|34101|33007|43534||||Davis Roofing and Sheetmetal LLC||Davis Roofing & Sheetmetal, LLC|davis roofing & sheetmetal
Daybreak, Inc.|205241505|0|0|0|0|23|0|0|0|0|50111|||||Daybreak Partners|Daybreak, Inc.|daybreak
Dayco, Inc.|30340853|0|0|12|12|0|0|0|25776|29080|0||||Dayco Inc.||Dayco, Inc.|dayco
DePinho Roofing, Inc.|330589690|0|0|65|0|70|0|0|133136|0|135735||||DePinho Roofing||DePinho Roofing, Inc.|depinho roofing
DeckTight Roofing Services Inc|650160298|108|0|67|98|102|220216|0|156428|147584|229967||||||DeckTight Roofing Services Inc|decktight roofing
Deer Park Roofing|311803193|100|159|121|38|130|218277|388260|235132|58457|304203|www.deerparkroofing.com|Deer Park Roofing||Deer Park Roofing, LLC||Deer Park Roofing|deer park roofing
Delmarva Roofing & Coating, Inc.|510308585|38|0|0|0|0|85506|0|0|0|0||||Delmarva Roofing & Coating Inc.||Delmarva Roofing & Coating, Inc.|delmarva roofing & coating
Delta Contracting Services Inc.|223213749|34|34|38|41|43|63667|64355|66233|72165|68399||||Delta Contracting Services Inc.||Delta Contracting Services Inc.|delta contracting
Delta Innovative Services|200820115, 264075785|0|223|0|0|0|0|414442|0|0|0||||Delta Innovative Services||Delta Innovative Services|delta innovative
Desert Roofing, LLC|384159683|0|0|0|70|0|0|0|0|64614|0||||||Desert Roofing, LLC|desert roofing
Detroit Cornice and Slate Company, Inc.|381960946|11|11|12|15|14|21831|20483|25088|30773|27379||||||Detroit Cornice and Slate Company, Inc.|detroit cornice & slate
Detwiler Roofing LLC|460559033|0|49|50|51|51|0|101920|70769|97167|87987||||Detwiler Roofing LLC||Detwiler Roofing LLC|detwiler roofing
Diablo Roofing Inc|463056253|0|0|0|0|120|0|0|0|0|249600||||Diablo Roofing, Inc.||Diablo Roofing Inc|diablo roofing
Diamond Everley Roofing Contractors|481048575|0|45|0|40|0|0|74131|0|51751|0|diamondeverley.com|Diamond Everley Roofing Contractors||Diamond Everley Roofing Contractors||Diamond Everley Roofing Contractors|diamond everley roofing
Diekevers Roofing, Inc.|382414014|0|0|0|15|0|0|0|0|20000|0||||||Diekevers Roofing, Inc.|diekevers roofing
Dils Roofing|330492050|0|0|0|29|45|0|0|0|65820|78620||||||Dils Roofing|dils roofing
Direct Building Supplies, LLC - DBA Home ReNu|460908955|0|0|152|150|0|0|0|153312|138508|0||||||Direct Building Supplies, LLC - DBA Home ReNu|direct building supplies llc - dba home renu
Diverse Construction Service LLC|371690357|25|25|25|16|14|13151|21469|13220|1156850|1003375||||||Diverse Construction Service LLC|diverse construction service
Diversified Roofing|860599690|0|0|420|456|400|0|0|447005|866910|752599|www.diversifiedroofing.com|Diversified Roofing||Diversified Roofing||Diversified Roofing|diversified roofing
Division 7 Building Contractors Inc.|203241913|0|0|0|60|63|0|0|0|91392|93114||||||Division 7 Building Contractors Inc.|division 7 building
Division 7 Roofing|311184359|0|0|0|65|64|0|0|0|136735|158479||||Division 7 Roofing||Division 7 Roofing|division 7 roofing
Division 7 Services, Inc||40|14|52|55|71|78864|15308|89440|87884|125207||||||Division 7 Services, Inc|division 7
Dixie Roofing, Inc.|621136030|170|140|175|190|200|441660|393618|394087|526743|513457||||Dixie Roofing Inc.||Dixie Roofing, Inc.|dixie roofing
Domack Restoration, LLC|061615584|28|0|0|0|0|40377|0|0|0|0||||Domack Restoration LLC||Domack Restoration, LLC|domack restoration
Domain Corp|810560648|20|0|21|0|0|30000|0|30500|0|0|||||Domain Capital Group|Domain Corp|domain
Dominion Siding, Inc.|264041317|0|0|40|0|0|0|0|83200|0|0|dominionx.com|Dominion Siding||||Dominion Siding, Inc.|dominion siding
Don Kennedy Roofing Co.|621387025|147|100|98|100|100|195033|193569|97114|208000|208000||||Don Kennedy Roofing Co. Inc.||Don Kennedy Roofing Co.|don kennedy roofing
Don Largent Roofing, Inc|520697444|0|0|34|0|0|0|0|65656|0|0||||||Don Largent Roofing, Inc|don largent roofing
Don Schmidt Contracting & Roofing, Inc.|592885246|15|0|0|10|0|19154|0|0|20236|0||||||Don Schmidt Contracting & Roofing, Inc.|don schmidt contracting & roofing
Donald B. Smith, Inc.|231483449|0|0|0|0|35|0|0|0|0|95913||||Donald B. Smith Inc.||Donald B. Smith, Inc.|donald b. smith
Donaly Roofing & Construction, Inc|364269912|0|0|0|0|8|0|0|0|0|15360||||||Donaly Roofing & Construction, Inc|donaly roofing
Doradus Corp DBA Alvarez Roofing|593472464|0|19|20|0|0|0|38364|37627|0|0||||||Doradus Corp DBA Alvarez Roofing|doradus corp dba alvarez roofing
Double C Construction LLC,  DBA Chapman Construction LLC|264799044|21|23|26|26|0|34694|33285|38464|41347|0||||||Double C Construction LLC,  DBA Chapman Construction LLC|double c construction llc dba chapman
Double D Roofing & Sheet Metal, Inc.|232522829|0|0|30|0|0|0|0|51820|0|0||||||Double D Roofing & Sheet Metal, Inc.|double d roofing & sheet metal
Douglass Colony Group Inc.|840513471|533|318|318|368|376|726422|644258|581824|739615|735913||||Douglass Colony Group||Douglass Colony Group Inc.|douglass colony
Dri Tech Corporation|880394400|98|0|105|124|0|159972|0|169547|227780|0||||Dri Tech LLC||Dri Tech Corporation|dri tech
Dudeck Roofing & Sheet Metal, Inc.|351954551|36|38|37|40|39|50723|55618|55152|60135|60144||||||Dudeck Roofing & Sheet Metal, Inc.|dudeck roofing & sheet metal
Dunmore Roofing & Supply Co. Inc.|231736824|49|42|40|35|35|52925|39068|64479|54149|59663||||||Dunmore Roofing & Supply Co. Inc.|dunmore roofing & supply
Durabilis Roofing||0|0|10|0|0|0|0|19200|0|0||||||Durabilis Roofing|durabilis roofing
Dwayne Nash Industries, Inc.|911784687|163|0|0|0|0|391200|0|0|0|0||||||Dwayne Nash Industries, Inc.|dwayne nash
Dynamic Holdings|832750109|52|51|39|40|37|60372|86344|238160|71929|71856|www.dynamicnational.com|Dynamic National||Dynamic National||Dynamic Holdings|dynamic
Dynamic Roofing Concepts Inc.|204094607|0|0|0|0|22|0|0|0|0|34924|dynamicroofingconcepts.com|DYNAMIC ROOFING CONCEPTS||||Dynamic Roofing Concepts Inc.|dynamic roofing concepts
E M Management Services, Inc.|341955850|24|25|0|0|27|44398|43701|0|0|44946||||||E M Management Services, Inc.|e m
E. Cornell Malone Corporation|640677155|0|0|0|113|0|0|0|0|241934|0||||E. Cornell Malone Corp.||E. Cornell Malone Corporation|e. cornell malone
E.D. Chase Company, Inc||24|0|0|0|0|37579|0|0|0|0||||||E.D. Chase Company, Inc|e.d. chase
EBERHARD BENTON ROOFING|330733202|0|0|0|35|0|0|0|0|71348|0||||||EBERHARD BENTON ROOFING|eberhard benton roofing
ED SENEZ ROOFING SPECIALIST, LLC|824410776|0|0|17|0|0|0|0|35637|0|0||||||ED SENEZ ROOFING SPECIALIST, LLC|ed senez roofing specialist
EDA Contractors, Inc|833073794|0|0|0|0|26|0|0|0|0|51935||||||EDA Contractors, Inc|eda
EM Management Services Inc|341958850|0|0|28|29|0|0|0|53846|58617|0||||||EM Management Services Inc|em
EMC CONSTRUCTION, CORP|824469539|0|31|29|46|27|0|21124|33605|56512|18743||||||EMC CONSTRUCTION, CORP|emc
EMERALD ROOFING, INC.|043706668|11|0|0|0|0|12138|0|0|0|0||||||EMERALD ROOFING, INC.|emerald roofing
EQUITY ROOFING LLC|843902105|0|0|0|0|28|0|0|0|0|36231||||||EQUITY ROOFING LLC|equity roofing
EVANS ROOFING AND RAIN GUTTERS, INC.|462067793|0|0|15|14|0|0|0|21985|24960|0||||||EVANS ROOFING AND RAIN GUTTERS, INC.|evans roofing & rain gutters
EWD Inc dba Roof Rite|860731162|0|25|30|0|0|0|52000|62400|0|0||||||EWD Inc dba Roof Rite|ewd inc dba roof rite
EXTREME FLORIDA ROOFING LLC|873057048|0|0|0|90|72|0|0|0|193236|112685||||Extreme Florida Roofing||EXTREME FLORIDA ROOFING LLC|extreme florida roofing
EZ Exteriors LLC|453810941|0|0|0|0|25|0|0|0|0|23919||||||EZ Exteriors LLC|ez exteriors
Eagle Rivet Roof Services Corporation|421553501|49|56|52|54|61|99733|100234|103747|109537|114518||||||Eagle Rivet Roof Services Corporation|eagle rivet roof
East Fork Roofing, LLC|465572067|20|0|0|0|0|23477|0|0|0|0||||||East Fork Roofing, LLC|east fork roofing
East Moline Sheet Metal Co., Inc.|200312596|30|0|28|34|38|52739|0|54494|60824|65920||||||East Moline Sheet Metal Co., Inc.|east moline sheet metal
East Muskegon Roofing and Sheet Metal Co. Inc|381469436|80|66|70|82|70|147423|133609|141276|155389|154366||||East Muskegon Roofing & Sheet Metal Co. Inc.||East Muskegon Roofing and Sheet Metal Co. Inc|east muskegon roofing & sheet metal
Easton Roofing|465156869|0|0|25|21|0|0|0|52175|42000|0||||||Easton Roofing|easton roofing
Eberhard|953071086|165|120|176|160|145|263188|252766|273705|294584|22470|www.eberhardco.com|Eberhard||||Eberhard|eberhard
Eberhard A Tecta America Company, LLC.|933986475|0|0|0|0|138|0|0|0|0|265396||||Eberhard, a Tecta America Company, LLC||Eberhard A Tecta America Company, LLC.|eberhard a tecta america
Eberhard SMC|954479334|54|0|0|0|0|14508|0|0|0|0||||||Eberhard SMC|eberhard smc
Eberhard Southwest Roofing, A Tecta America Company LLC|933999053|0|0|0|0|71|0|0|0|0|117252||||Eberhard Southwest Roofing A Tecta America Company||Eberhard Southwest Roofing, A Tecta America Company LLC|eberhard southwest roofing a tecta america
Eberhard Southwest Roofing, Inc.|880330070|67|64|49|67|44|145383|135176|101139|134194|7343||||||Eberhard Southwest Roofing, Inc.|eberhard southwest roofing
Eby Exteriors|231988847|0|0|0|0|14|0|0|0|0|27989||||||Eby Exteriors|eby exteriors
Eckstein Roofing Co.||28|0|0|0|0|48979|0|0|0|0||||Eckstein Roofing Co.||Eckstein Roofing Co.|eckstein roofing
Economy Roofing & Insulating Co., Inc|420667583|23|26|22|24|24|35780|39357|30920|37372|36000||||||Economy Roofing & Insulating Co., Inc|economy roofing & insulating
Ed's Economy Roofing, LLC|392066115|0|16|18|17|18|0|25883|28836|26597|31784||||||Ed's Economy Roofing, LLC|ed's economy roofing
Edge Roofing, Inc.|202088923|0|29|27|26|33|0|39265|44876|43057|44360||||||Edge Roofing, Inc.|edge roofing
Edwards Roofing Company inc|591101925|47|39|39|37|32|82943|72307|64675|61614|61883||||Edwards Roofing Co. Inc.||Edwards Roofing Company inc|edwards roofing
Elens & Maichin Roofing & Sheet Metal, Inc.|362807358|35|34|33|38|33|61630|61547|56172|64007|59842||||Elens & Maichin Roofing & Sheet Metal Inc.||Elens & Maichin Roofing & Sheet Metal, Inc.|elens & maichin roofing & sheet metal
Elmer W. Davis, Inc||250|250|0|230|250|355175|280350|0|333213|260723||||Elmer W. Davis Inc.||Elmer W. Davis, Inc|elmer w. davis
Elo Restoration INC DBA Elo Roofing INC|464298926|0|0|64|70|90|0|0|133120|73360|187001||||||Elo Restoration INC DBA Elo Roofing INC|elo restoration inc dba elo roofing
Emmons Roof Service, Inc.|954349721|0|0|0|25|28|0|0|0|45251|51006||||||Emmons Roof Service, Inc.|emmons roof service
Empire Roofing Companies Inc|752759310|207|189|165|79|67|491398|422926|423562|159341|147126||||Empire Roofing Companies, Inc.||Empire Roofing Companies Inc|empire roofing companies
Empire Roofing Inc of Nashville|454526366|33|40|19|0|0|60496|86841|79961|0|0||||||Empire Roofing Inc of Nashville|empire roofing inc of nashville
Empire Roofing Inc.|751828325, 810495020|0|0|254|0|0|0|0|518623|0|0|empire-rs.co.uk|Empire Roofing Services (Oxford)||Empire Roofing, Inc.||Empire Roofing Inc.|empire roofing
Empire Roofing and Sheet Metal|831519734|26|49|22|28|37|30538|82092|59372|56984|72873||||||Empire Roofing and Sheet Metal|empire roofing & sheet metal
Empire Roofing of Georgia|271811195|27|64|26|21|20|60965|106522|72388|50980|41600||||||Empire Roofing of Georgia|empire roofing of georgia
Empire Roofing of Oklahoma|464038268|45|40|30|37|40|111419|81112|74029|72289|72239||||Empire Roofing of Oklahoma, Inc.||Empire Roofing of Oklahoma|empire roofing of oklahoma
Empire Roofing of Southeast|261887467|83|76|85|89|80|186714|166786|161939|175241|186603||||||Empire Roofing of Southeast|empire roofing of southeast
Empire Roofing of Tennessee, LLC|621874337|22|0|0|11|13|42555|0|0|24993|23850||||||Empire Roofing of Tennessee, LLC|empire roofing of tennessee
Encompass Roofing & Waterproofing, Inc.|453909846|21|15|0|0|0|38213|27383|0|0|0||||||Encompass Roofing & Waterproofing, Inc.|encompass roofing & waterproofing
Encore Roofing, Inc.|10551453|0|0|60|60|0|0|0|130537|158888|0||||Encore Roofing Inc.||Encore Roofing, Inc.|encore roofing
Encore Roofing,Inc.|010551453|0|0|0|0|60|0|0|0|0|140799||||||Encore Roofing,Inc.|encore roofinginc
Enloe, Inc|570609508|32|0|0|0|0|80285|0|0|0|0||||||Enloe, Inc|enloe
Enterprise Roofing & Sheet Metal Company|310569979|85|80|111|105|98|116133|112015|120245|135190|132092||||||Enterprise Roofing & Sheet Metal Company|enterprise roofing & sheet metal
Enterprise Roofing Service, Inc.|941551712|88|74|71|80|78|153010|94436|116123|136957|130849||||||Enterprise Roofing Service, Inc.|enterprise roofing service
Environmental Roofing & Waterproofing|770572713|30|43|43|48|0|67074|59139|60302|81000|0||||Environmental Roofing & Waterproofing, Inc.||Environmental Roofing & Waterproofing|environmental roofing & waterproofing
Erie Construction Mid-West LLC.|341712631|0|0|0|0|136255|0|0|0|0|2464071||||||Erie Construction Mid-West LLC.|erie construction mid-west
Ernest Peterson, Incorporated|60643171|0|0|0|24|0|0|0|0|39694|0||||||Ernest Peterson, Incorporated|ernest peterson
Esary Roofing & Siding Co Inc|911189270|0|0|20|20|21|0|0|33385|35340|44188||||||Esary Roofing & Siding Co Inc|esary roofing & siding
Eskola LLC|200864887|112|0|0|0|0|240607|0|0|0|0|www.eskola.com|Eskola||Eskola||Eskola LLC|eskola
Eskola Roofing and Waterproofing, Inc||0|0|0|236|700|0|0|0|406140|1020965||||Eskola Roofing and Waterproofing LLC||Eskola Roofing and Waterproofing, Inc|eskola roofing & waterproofing
Estep and Hessburg LLC dba Proformance Roofing|811840708|0|0|0|104|4|0|0|0|237800|8500||||||Estep and Hessburg LLC dba Proformance Roofing|estep & hessburg llc dba proformance roofing
Etheridge Roofing|261619912|0|0|0|0|15|0|0|0|0|31500||||||Etheridge Roofing|etheridge roofing
Etruscan Exteriors|811016054|0|0|0|0|3|0|0|0|0|1920||||||Etruscan Exteriors|etruscan exteriors
EverGuard Roofing, LLC|850481655|0|0|0|75|75|0|0|0|153716|153026||||Everguard Roofing||EverGuard Roofing, LLC|everguard roofing
Evergreen Roofing of Oregon|931000622|0|0|0|77|74|0|0|0|148457|133427||||Evergreen Roofing of Oregon||Evergreen Roofing of Oregon|evergreen roofing of oregon
Excellco Coating Inc.|454424215|15|0|0|0|0|27587|0|0|0|0||||||Excellco Coating Inc.|excellco coating
F & F Roofing Co.|112519403|22|0|0|0|0|49756|0|0|0|0||||F&F Roofing Co. Inc.||F & F Roofing Co.|f & f roofing
F & G Roofing Company, LLC|201878777|32|28|35|34|28|44338|40976|59463|43000|31194||||||F & G Roofing Company, LLC|f & g roofing
F.J. Dahill|60314330|0|0|31|31|0|0|0|59495|55378|0||||||F.J. Dahill|f.j. dahill
F.J.A. Christiansen Roofing Co., Inc|391702267|79|79|79|79|79|113424|119837|128016|133845|131440||||||F.J.A. Christiansen Roofing Co., Inc|f.j.a. christiansen roofing
FIDUS ROOFING & CONSTRUCTION|454293045|0|44|44|44|34|0|91520|91520|91520|68952||||||FIDUS ROOFING & CONSTRUCTION|fidus roofing
FIRST AVENUE, INC.|821972076, 954618821|75|0|0|0|0|150746|0|0|0|0||||||FIRST AVENUE, INC.|first avenue
FLORIDA ROOF-TECH CORP ROOFING DONE RIGHT GUARANTEED|464408800|28|26|25|50|26|74371|72152|64445|107892|51292||||||FLORIDA ROOF-TECH CORP ROOFING DONE RIGHT GUARANTEED|florida roof-tech corp roofing done right guaranteed
FLORIDA STATE ROOFING CORP|834524611|0|0|12|0|0|0|0|14761|0|0||||||FLORIDA STATE ROOFING CORP|florida state roofing
FOXHAVEN ROOFING GROUP LLC|823647265|0|0|13|46|29|0|0|21945|79382|44917||||||FOXHAVEN ROOFING GROUP LLC|foxhaven roofing
FREDERIC CO INC|430278420|37|35|40|0|0|59985|59852|55767|0|0||||||FREDERIC CO INC|frederic
FRYE ROOFING, INC.|550385426|21|0|0|0|0|37308|0|0|0|0||||Frye Roofing Inc.||FRYE ROOFING, INC.|frye roofing
FSR SERVICES||55|0|0|0|0|131539|0|0|0|0|||||FSR|FSR SERVICES|fsr
FW Walton|760027651|0|33|243|236|218|0|73108|409310|498422|374712||||||FW Walton|fw walton
Farrell Roofing|208890407|0|30|26|30|30|0|2874150|48890|6414225|74279|farrellroofing.com|Farrell Roofing|Farrell Roofing|Farrell Roofing Inc.||Farrell Roofing|farrell roofing
Feazel Roofing LLC|311356520|105|187|185|51|1|205251|141070|282071|78596|1080|www.feazelinc.com|Feazel Roofing||||Feazel Roofing LLC|feazel roofing
Feeley, McAnespie, Inc.|43234436|0|0|26|21|0|0|0|48019|38903|0||||Feeley McAnespie Inc.||Feeley, McAnespie, Inc.|feeley mcanespie
Ferguson Roofing Company Inc.|431073200|18|14|0|0|0|36000|27300|0|0|0||||Ferguson Roofing Co. Inc.||Ferguson Roofing Company Inc.|ferguson roofing
Ferguson Roofing and Exteriors||0|0|0|0|18|0|0|0|0|17360||||||Ferguson Roofing and Exteriors|ferguson roofing & exteriors
Fey Roofing and Sheet Metal|271722556|0|0|0|16|17|0|0|0|19284|19697||||||Fey Roofing and Sheet Metal|fey roofing & sheet metal
Fidelity Roof Company|941326440|0|72|63|65|66|0|100841|102159|117219|132618||||Fidelity Roof Co.||Fidelity Roof Company|fidelity roof
Filotto Roofing|363964971|28|60|35|35|0|35791|83515|64283|67793|0||||Filotto Roofing, Inc.||Filotto Roofing|filotto roofing
Finger Lakes Roofing Technologies Inc.|161543834|0|0|9|9|9|0|0|8279|6418|3619||||||Finger Lakes Roofing Technologies Inc.|finger lakes roofing
Finger Lakes Service Group Inc.|161447644|0|0|0|0|30|0|0|0|0|50000||||Finger Lakes Service Group Inc.||Finger Lakes Service Group Inc.|finger lakes service
Firehouse Roofing||0|0|29|35|35|0|0|60000|72800|72800||||||Firehouse Roofing|firehouse roofing
First Dimension Work||0|0|0|32|0|0|0|0|66560|0||||||First Dimension Work|first dimension work
First Quality Roofing|30429474|0|0|21|18|0|0|0|37440|37440|0||||||First Quality Roofing|first quality roofing
First Student|592360435|0|0|0|32|0|0|0|0|43006|0||||||First Student|first student
Fitz Roofing LLC|901118889|0|16|0|0|0|0|33280|0|0|0||||||Fitz Roofing LLC|fitz roofing
Five Guys Services|465229405|90|67|71|75|115|230108|139360|247634|172335|255383||||||Five Guys Services|five guys
Florida's Best Roofing Inc|141901085|0|0|0|0|22|0|0|0|0|37927||||||Florida's Best Roofing Inc|florida's best roofing
Flynn|352506375, 471731825, 472296160|0|0|0|1546|1363|0|0|0|3070558|2725581||||||Flynn|flynn
Fontaine Weatherproofing Inc.|204014128|62|57|56|69|72|124338|109409|132448|11679|136097||||Fontaine Weatherproofing LLC||Fontaine Weatherproofing Inc.|fontaine weatherproofing
Fontana Roofing, Inc.|203177054|20|20|0|0|0|36100|31396|0|0|0||||||Fontana Roofing, Inc.|fontana roofing
Ford Roofing Systems Inc|461526455|14|0|0|0|0|25419|0|0|0|0||||Ford Roofing Co. LLC||Ford Roofing Systems Inc|ford roofing
Fort Wayne Roofing A Tecta America Company, LLC|824410411|59|45|47|48|50|100784|75461|85628|95253|96489||||Fort Wayne Roofing, A Tecta America Co||Fort Wayne Roofing A Tecta America Company, LLC|fort wayne roofing a tecta america
Fort-Cica Roofing & General Contractors Inc.|131763196|40|40|32|32|0|65634|70683|61447|63085|0||||Fort-Cica Roofing & General Contractors Inc.||Fort-Cica Roofing & General Contractors Inc.|fort-cica roofing & general
Foster Contracting, Inc.|901194237|0|0|16|14|14|0|0|25907|26116|30011||||Foster Contracting, Inc.||Foster Contracting, Inc.|foster contracting
