establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
Medina Asphalt Plant|Owens Corning|OH|1|21|24|54748||'Owens Corning'|owens corning|false
Medina Roofing Plant|Owens Corning|OH|1|22|217|438007||'Owens Corning'|owens corning|false
CEI|CEI Group|MD|1|3|300|624000|232290246|'CEI Group LLC'|cei|false
Roof Masters Inc|Roof Masters Inc|OR|1|21|20|32975|931088362|'Roof Masters Co.'|roof masters|false
Scott Construction|SCOTT CONSTRUCTION CORPORATION|ME|1|21|16|31278|453355039|'Scott Enterprises Inc.'|scott|false
8373_19060|Royal Technologies|MI|1|21|46|61548|382726351|'Royal industries LLC'|royal|false
8373_19059|Royal Technologies|MI|1|3|341|704333|382726351|'Royal industries LLC'|royal|false
8373_19057|Royal Technologies|MI|1|22|138|270276|382726351|'Royal industries LLC'|royal|false
8373_19058|Royal Technologies|MI|1|3|257|511043|382726351|'Royal industries LLC'|royal|false
8373_19062|Royal Technologies|TX|1|22|144|304835|382726351|'Royal industries LLC'|royal|false
8373_19061|Royal Technologies|AL|1|22|247|504445|382726351|'Royal industries LLC'|royal|false
TECTA AMERICA CAROLINAS LLC|TECTA AMERICA CAROLINAS LLC|NC|1|21|41|88734|202909519|'Tecta America Carolinas LLC'|tecta america carolinas|false
Don Kennedy Roofing Co|Don Kennedy Roofing Co.|TN|1|22|100|208000||'Don Kennedy Roofing Co. Inc.'|don kennedy roofing|false
D&L Roofing, LLC|D&L Roofing, LLC|NV|1|21|58|80831|272001551|'D&L Roofing LLC'|d&l roofing|false
CST - BNT - Bennettsville|Crescent|SC|1|2|18|30438|450699531|'Crescent Construction Services'|crescent|false
CST - SUM - Sumter|Crescent|SC|1|1|13|19967|450699531|'Crescent Construction Services'|crescent|false
CST - COL - Columbia|Crescent|SC|1|2|19|30931|450699531|'Crescent Construction Services'|crescent|false
Barrett Inc.|Barrett Inc.|CT|1|21|81|150393|60681058|'Barrett Inc.'|barrett|false
Delta Contracting Services Inc.|Delta Contracting Services Inc.|NJ|1|21|41|72165|223213749|'Delta Contracting Services Inc.'|delta contracting|false
Advocate construction Inc|Advocate Construction Inc|IL|1|22|217|423982|461290497|'Advocate Construction'|advocate|false
Anderson Development Company|Anderson Development Company|MI|1|2|125|253668||'Anderson Associates'|anderson|false
Hynes Industries|Hynes Industries|IN|1|21|22|2736|510593544|'Hynes Services Inc.'|hynes|false
Hynes Industries- Painesville|Hynes Industries|OH|1|21|34|2736|340870893|'Hynes Services Inc.'|hynes|false
Hynes Industries- Youngstown|Hynes Industries|OH|1|22|130|2736|340971763|'Hynes Services Inc.'|hynes|false
Owens Corning - Jackson, TN|Owens Corning|TN|1|22|222|490944|352273537|'Owens Corning'|owens corning|false
Skyline|Skyline|VA|1|1|19|35972|520398821|'Skyline Construction Services Inc.'|skyline|false
KPost Roofing and Waterproofing|KPost Company|TX|1|3|398|821989|270073666|'KPost Company'|kpost|false
Midwest Coating, Inc.|Midwest Coating, Inc.|KS|1|21|37|84753|480896503|'Midwest Coating Inc.'|midwest coating|false
Commercial Roofing|Commercial Roofing A Tecta America Company|WI|1|1|12|27051|842696369|'Commercial Roofing a Tecta America Company LLC'|commercial roofing a tecta america|false
The Quality Roofing Company|The Quality Roofing Company|MO|1|21|27|46637|440400020|'The Quality Roofing Co. Inc.'|the quality roofing|false
Superior Services RSH, Inc.|Superior Services RSH, Inc.|MI|1|1|23|47825|382491879|'Superior Services RSH Inc.'|superior services rsh|false
Window World of Baton Rouge|Window World|LA|1|22|131|253931|943427277|'Window World Inc.'|window world|false
Specialty Roofing Inc|Specialty roofing Inc|AZ|1|21|56|111104|860224636|'Specialty Roofing Inc.'|specialty roofing|false
Fort Smith Plant|Owens Corning|AR|1|22|103|204647||'Owens Corning'|owens corning|false
Holt Roofing Company|Holt Roofing Company|OH|1|21|22|34000|341283297|'Holt Roofing Co. Inc.'|holt roofing|false
Eskola Roofing and Waterproofing, Inc|Eskola Roofing and Waterproofing, Inc|TN|1|22|236|406140||'Eskola Roofing and Waterproofing LLC'|eskola roofing and waterproofing|false
Terik Roofing, Inc.|Terik Roofing, Inc.|OH|1|21|33|53968|43593689|'Terik Roofing Inc.'|terik roofing|false
ARI INDUSTRIES, INC|ARi Industries. Inc.|IL|1|2|53|101817||'ARI Consulting Services Corp'|ari|false
Owens Corning Brentwood|Owens Corning|NH|1|2|90|170122|743189734|'Owens Corning'|owens corning|false
Davco Roofing & Sheet Metal|Davco Roofing & Sheet Metal|NC|1|21|60|101772|263102788|'DAVCO Roofing & Sheet Metal Inc.'|davco roofing & sheet metal|false
Deer Park Roofing - Louisville Branch|Deer Park Roofing|KY|1|21|38|58457|311803193|'Deer Park Roofing, LLC'|deer park roofing|false
Alumni Roofing Lexington|Alumni Roofing Co.|OH|1|21|25|44872|341865113|'Alumni Roofing Company'|alumni roofing|false
Williamsburg Office|Pyramid Roofing|VA|1|1|15|26415|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
United Fiber Maryville 136|United Services Inc|MO|1|1|9|19074|431647434|'United Contractors'|united|false
United Fiber Cameron|United Services INC|MO|1|1|2|3828|431647434|'United Contractors'|united|false
United Fiber St Joseph|United Services INC|MO|1|1|11|19871|431647434|'United Contractors'|united|false
Langer Roofing & Sheet Metal Inc.|Langer Roofing & Sheet Metal Inc.|WI|1|22|123|232988|390667560|'Langer Roofing & Sheet Metal Inc.'|langer roofing & sheet metal|false
United Fiber Excelsior Springs|United Services INC|MO|1|1|7|13725|431647434|'United Contractors'|united|false
United Fiber Smithville|United Services INC|MO|1|1|4|8214|431647434|'United Contractors'|united|false
United Fiber Maryville|United Services INC|MO|1|1|3|5896|431647434|'United Contractors'|united|false
PHINNEY INDUSTRIAL ROOFING|PHINNEY INDUSTRIAL ROOFING|OH|1|21|24|43249|341478040|'Phinney Industrial Roofing Inc.'|phinney industrial roofing|false
Maly Roofing Company|Maly Roofing Company|WI|1|21|30|49112|391619881|'Maly Roofing Company Inc.'|maly roofing|false
New England Masonry & Roofing Co.|NEW ENGLAND MASONRY & ROOFING CO.|CT|1|21|41|76009|60811146|'New England Masonry & Roofing'|new england masonry & roofing|false
MW Industries|MW Industries|ND|1|1|11|17990||'MW'|mw|false
Scott Construction Inc.|Scott Construction Inc.|WI|1|2|150|226251|390979191|'Scott Enterprises Inc.'|scott|false
Anderson Construction|Anderson Construction|VA|1|21|75|123180|541759167|'Anderson Associates'|anderson|false
STATE ROOFING SYSTEMS INC|STATE ROOFING SYSTEMS INC|CA|1|21|90|167961|942743961|'State Roofing Systems Inc.'|state roofing|false
Professional Group Management Inc.|Professional Group Management Inc|FL|1|2|32|95054|650840982|'Professional Construction Services Inc.'|professional|false
Home instead Senior care|Allied LLC|CO|1|3|215|240870|841494367|'Allied Construction Services'|allied|false
Register Roofing & Sheet Metal, Inc.|Register Roofing & Sheet Metal, Inc.|FL|1|21|90|174778|542069021|'Register Roofing & Sheet Metal Inc.'|register roofing & sheet metal|false
PAPT - AIS|AIS|PA|1|2|49|95378|251399868|'AIS Construction Inc'|ais|false
PAER|AIS|PA|1|1|13|26327|251399868|'AIS Construction Inc'|ais|false
OHYT Youngstown|AIS|OH|1|1|15|33660|251399868|'AIS Construction Inc'|ais|false
OHCL AIS|AIS|OH|1|1|18|37249|251399868|'AIS Construction Inc'|ais|false
Noble Pride Roofing Company Inc.|Noble Pride Roofing Company Inc.|CA|1|1|14|27364|542186604|'Noble Pride Roofing'|noble pride roofing|false
Sun Commercial Roofs, Inc.|Sun Commercial Roofs, Inc.|TX|1|21|93|193514|752214198|'Sun Commercial Roofs Inc.'|sun commercial roofs|false
Paramount Roofing, Inc|Paramount Roofing, Inc|NY|1|21|20|46268|262459527|'Paramount Roofing Inc.', 'Paramount Roofing LLC'|paramount roofing|true
Arrow Drillers dba Arrow Construction|Arrow Construction|CA|1|22|129|221183|680357958|'Arrow Consulting Corp.'|arrow|false
Kleinfelder|Kleinfelder|CA|1|3|2082|3813128|941532513|'Kleinfelder, Inc'|kleinfelder|false
COASTAL ROOFING SOLUTIONS, LLC|COASTAL ROOFING SOLUTIONS, LLC|FL|1|21|17|1940|853054708|'Coastal Roofing Solutions, LLC'|coastal roofing solutions|false
PLACER ROOFING INC|PLACER ROOFING INC|CA|1|21|22|37359|863864393|'Placer Roofing Inc.'|placer roofing|false
CMR CONSTRUCTION & ROOFING, LLC-TN|CMR CONSTRUCTION & ROOFING, LLC|TN|1|21|72|138381|710873844|'CMR Construction & Roofing'|cmr construction & roofing|false
KAM ROOFING SERVICES LLC|KAM ROOFING SERVICES LLC|FL|1|21|36|65905|833997083|'KAM Roofing Services'|kam roofing|false
CMR CONSTRUCTION & ROOFING, LLC-FL|CMR CONSTRUCTION & ROOFING, LLC|FL|1|21|132|269252|710873844|'CMR Construction & Roofing'|cmr construction & roofing|false
EXTREME FLORIDA ROOFING LLC|EXTREME FLORIDA ROOFING LLC|FL|1|21|45|96618|873057048|'Extreme Florida Roofing'|extreme florida roofing|false
Kalkreuth Roofing & Sheet Metal, Inc.|Kalkreuth Roofing & Sheet Metal, Inc.|WV|1|22|152|274501|550647319|'Kalkreuth Roofing & Sheet Metal Inc.'|kalkreuth roofing & sheet metal|false
Central States Manufacturing - St. Peters|Central States Manufacturing|MO|1|21|74|133263||'Central States Manufacturing'|central states|false
Allied Roofing, Inc.|Allied Roofing, Inc.|FL|2|2|45|77640|592690416|'Allied Roofing Inc.'|allied roofing|false
The Roof Authority, Inc.|The Roof Authority, Inc.|FL|1|21|28|54475|650384452|'The Roof Authority Inc.'|the roof authority|false
JR Roofing|JR Roofing|NE|1|1|9|12783|263983582|'JR Roofing, LLC'|jr roofing|false
Pressure Point Roofing|Pressure Point Roofing|OR|1|2|45|91740|931052886|'Pressure Point Roofing'|pressure point roofing|false
Silktown Roofing, Inc./Manchester CT|Silktown Roofing, Inc.|CT|1|21|75|163934|61350674|'Silktown Roofing Inc.'|silktown roofing|false
Silktown Roofing, Inc./Derby CT|Silktown Roofing, Inc.|CT|1|21|40|78079|61350674|'Silktown Roofing Inc.'|silktown roofing|false
Silktown Roofing, Inc.-North/Douglas, MA|Silktown Roofing, Inc.|MA|1|21|25|40508|61350674|'Silktown Roofing Inc.'|silktown roofing|false
Owens Corning Foam Insulation LLC - Tallmadge|Owens Corning|OH|1|21|81|166614|383737830|'Owens Corning'|owens corning|false
HC NATIONWIDE LLC|HC NATIONWIDE LLC|OH|1|21|35|32907|300632487|'HC Nationwide LLC'|hc nationwide|false
Hampton Office|Pyramid Roofing|VA|1|1|22|38742|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Tecta America Metro New York LLC|Tecta America Metro New York LLC|NJ|1|1|14|24284|200811004|'Tecta America Metro New York LLC'|tecta america metro new york|false
EXCEL Maintenance @ Westlake, Geismar|EXCEL|LA|1|2|35|84417|721503785|'Excel Construction Group'|excel|false
EXCEL Maintenance @ Westlake, Calvert City KY|EXCEL|KY|1|2|95|186081|721503785|'Excel Construction Group'|excel|false
EXCEL Fabrication|EXCEL|LA|1|2|85|226647|721329331|'Excel Construction Group'|excel|false
EXCEL Contractors @ Phillips 66 Borger|Excel Contractors|TX|1|21|64|158133||'Excel Construction Group'|excel|false
EXCEL Contractors @ Dow Chemical Plaquemine|Excel Contractors|LA|1|21|65|93492||'Excel Construction Group'|excel|false
EXCEL Maintenance @ Shintech, Addis|EXCEL|LA|1|2|111|206640|721503785|'Excel Construction Group'|excel|false
Excel Contractors at CF Industries|Excel Contractors|LA|1|3|70|124438||'Excel Construction Group'|excel|false
Excel Contractors @ OCI Nederland TX|Excel Contractors|TX|1|3|281|612091|720969587|'Excel Construction Group'|excel|false
Excel Contractors @ Kinder Morgan Neste Harvey Hub|Excel Contractors|LA|1|22|85|155308||'Excel Construction Group'|excel|false
EXCEL Maintenance @ Shintech, Freeport|EXCEL|TX|1|3|463|1190548|721503785|'Excel Construction Group'|excel|false
United Industries - Bentonville|United Industries|AR|1|22|104|199091|710596548|'United Contractors'|united|false
United Industries - Rogers|United Industries|AR|1|1|15|27142|710596548|'United Contractors'|united|false
Precision Inc|Precision Inc.|CO|1|1|20|28970|410880463|'Precision Construction Services'|precision|false
Skyline Construction ACCEND Construction dba Skyline Construction|Skyline Construction|IL|1|21|32|66841|832188248|'Skyline Construction Services Inc.'|skyline|false
Allied Crawford Steel|Allied Properties Inc|OH|1|21|35|2992||'Allied Construction Services'|allied|false
ASPEN TECHNOLOGIES INC - Tennessee|Aspen Technologies Inc|TN|1|21|56|104606|141886899|'Aspen Group'|aspen|false
Commercial Roofers, Inc.|Commercial Roofers, Inc.|NV|1|3|325|497857|880371026|'Commercial Roofers Inc.'|commercial roofers|false
Karnak Corporation|Karnak Corporation|NJ|1|21|53|110098|135207035|'KARNAK'|karnak|false
Division 7 Roofing|Division 7 Roofing|OH|1|21|65|136735|311184359|'Division 7 Roofing'|division 7 roofing|false
Straightline Sheet Metal LLC|Straightline Sheet Metal LLC|MI|1|2|39|65755|273726120|'Straightline Sheet Metal'|straightline sheet metal|false
Clark Roofing Co|Clark Roofing Co|IL|1|22|95|159456|362135661|'Clark Roofing Co.', 'Clark Roofing Inc.'|clark roofing|true
NG Ancona (Streator) Storage Station|Southern Company|IL|1|2|27|53106||'Southern National'|southern|false
NG Aurora Fleet Facility|Southern Company|IL|1|2|28|55611||'Southern National'|southern|false
NG Bellwood Reporting Center|Southern Company|IL|1|2|110|219438||'Southern National'|southern|false
NG Bloomington Reporting Center|Southern Company|IL|1|2|39|78657||'Southern National'|southern|false
NG Crestwood Reporting Center|Southern Company|IL|1|2|79|158316||'Southern National'|southern|false
NG Crystal Lake Reporting Center|Southern Company|IL|1|2|79|157314||'Southern National'|southern|false
NG DeKalb Reporting Center|Southern Company|IL|1|2|24|47094||'Southern National'|southern|false
NG Des Plaines Reporting Center|Southern Company|IL|1|2|90|180861||'Southern National'|southern|false
NG Dixon Reporting Center|Southern Company|IL|1|2|25|49098||'Southern National'|southern|false
NG Elgin Reporting Center & Weld School|Southern Company|IL|1|2|53|106212||'Southern National'|southern|false
NG Glen Ellyn Reporting Center|Southern Company|IL|1|3|279|559617||'Southern National'|southern|false
NG Glenwood Reporting Center|Southern Company|IL|1|2|124|247995||'Southern National'|southern|false
NG Ingleside Reporting Center|Southern Company|IL|1|2|27|53106||'Southern National'|southern|false
NG Joliet Reporting Center|Southern Company|IL|1|2|138|275550||'Southern National'|southern|false
NG Kankakee Reporting Center|Southern Company|IL|1|2|29|57114||'Southern National'|southern|false
NG Naperville Reporting Center|Southern Company|IL|1|3|749|1500495||'Southern National'|southern|false
NG Ottawa Reporting Center|Southern Company|IL|1|2|32|63627||'Southern National'|southern|false
NG Rockford Service Center|Southern Company|IL|1|2|68|135270||'Southern National'|southern|false
NG Schaumburg Reporting Center|Southern Company|IL|1|2|65|130761||'Southern National'|southern|false
NG Troy Grove Storage Station|Southern Company|IL|1|2|21|42084||'Southern National'|southern|false
NG Yorkville Reporting Center|Southern Company|IL|1|2|72|144288||'Southern National'|southern|false
Grace Roofing & Sheet Metal Enterprise|Grace Roofing & Sheet Metal Enterprise|FL|1|21|40|54987|263981778|'Grace Roofing & Sheet Metal Enterprise'|grace roofing & sheet metal enterprise|false
Allied Services|Allied Services|MO|1|21|39|95111|860897719|'Allied Construction Services'|allied|false
SBR Holdings LLC|SBR Holdings LLC|NJ|1|21|55|80000|852699857|'SBR Inc.'|sbr|false
Allied Services|Allied Services|KS|1|22|135|353269|860897719|'Allied Construction Services'|allied|false
Thoroughbred Contractors LLC|Thoroughbred Contractors LLC|KY|1|21|35|68972|412088912|'Thoroughbred Contractors'|thoroughbred|false
Nations Roof of IL|Nations Roof|IL|1|21|38|76787|205762830|'Nations Roof', 'Nations Roof LLC'|nations roof|true
HOBS Industrial Roofing & Sheet Metal|HOBS Industrial Roofing & Sheet Metal|OH|1|21|33|33055|203344990|'HOBS Industrial Roofing & Sheet Metal Inc.'|hobs industrial roofing & sheet metal|false
Owens Corning|Owens Corning|OH|1|3|486|1004380||'Owens Corning'|owens corning|false
Brazos Urethane Inc.|Brazos Urethane Inc.|TX|1|22|140|335783|742466058|'Brazos Urethane Inc'|brazos urethane|false
CCA Davison Rd Processing Center|GM|MI|1|3|1100|2269009|270383222|'GM Consulting LLC'|gm|false
Premier Services|Premier Services|TX|1|2|19|32739|204499270|'Premier Enterprises'|premier|false
Competition Roofing, Inc.|Competition Roofing, Inc.|TX|1|1|18|36619|760063717|'Competition Roofing Inc.'|competition roofing|false
Hillside 2|Dynamic Manufacturing|IL|1|3|356|719192|363989759|'Dynamic National'|dynamic|false
McKinnis Inc.|McKinnis Inc.|NE|1|22|93|192676|470752353|'McKinnis Inc.'|mckinnis|false
Precision Construction Company|Precision Construction Company|OR|1|2|19|37750|930984839|'Precision Construction Services'|precision|false
Roof Toppers Inc.|Roof toppers|WA|1|21|67|109430|911607565|'Roof Toppers Inc.'|roof toppers|false
Regional Care Inc|RCI|NE|1|21|51|88118|470760050|'RCI Services LLC'|rci|false
Axiom Division 7|Axiom Division 7|WA|1|22|186|365959|261489962|'Axiom Division 7 Inc.'|axiom division 7|false
Myers industries|Myers|WA|1|22|121|235606|274548639|'Myers Consulting'|myers|false
Hillside 1|Dynamic Manufacturing|IL|1|3|669|1272877|363989759|'Dynamic National'|dynamic|false
Chowchilla|CertainTeed Corporation|CA|1|22|196|406949|232510893|'CertainTeed LLC'|certainteed|false
Owens Corning Compton Roofing & Asphalt|Owens Corning|CA|1|2|132|283007||'Owens Corning'|owens corning|false
Asheville|Baker Roofing|NC|1|1|31|48035|560130810|'Baker Roofing Co.'|baker roofing|false
Baker Service|Baker Roofing|NC|1|1|60|145821|560130810|'Baker Roofing Co.'|baker roofing|false
Birmingham|Baker Roofing|AL|1|1|12|20878|560130810|'Baker Roofing Co.'|baker roofing|false
Bristol|Baker Roofing|VA|1|1|11|21188|560130810|'Baker Roofing Co.'|baker roofing|false
Charleston|Baker Roofing|SC|1|1|53|90529|560130810|'Baker Roofing Co.'|baker roofing|false
Charlotte|Baker Roofing|NC|1|1|66|136499|560130810|'Baker Roofing Co.'|baker roofing|false
Chattanooga|Baker Roofing|TN|1|1|15|36467|560130810|'Baker Roofing Co.'|baker roofing|false
Chesapeake|Baker Roofing|VA|1|1|32|66740|560130810|'Baker Roofing Co.'|baker roofing|false
Coating|Baker Roofing|NC|1|1|11|24627|560130810|'Baker Roofing Co.'|baker roofing|false
Columbia|Baker Roofing|SC|1|1|16|28415|560130810|'Baker Roofing Co.'|baker roofing|false
Garage|Baker Roofing|NC|1|1|9|19346|560130810|'Baker Roofing Co.'|baker roofing|false
Greensboro|Baker Roofing|NC|1|1|49|102120|560130810|'Baker Roofing Co.'|baker roofing|false
Greenville NC|Baker Roofing|NC|1|1|12|20370|560130810|'Baker Roofing Co.'|baker roofing|false
Greenville SC|Baker Roofing|SC|1|1|16|39085|560130810|'Baker Roofing Co.'|baker roofing|false
Harrisonburg, VA|Baker Roofing|VA|1|1|32|66016|560130810|'Baker Roofing Co.'|baker roofing|false
Memphis|Baker Roofing|TN|1|1|7|21576|560130810|'Baker Roofing Co.'|baker roofing|false
Myrtle Beach|Baker Roofing|SC|1|1|14|29105|560130810|'Baker Roofing Co.'|baker roofing|false
Nashville|Baker Roofing|TN|1|1|42|79740|560130810|'Baker Roofing Co.'|baker roofing|false
Orlando|Baker Roofing|FL|1|1|21|36726|560130810|'Baker Roofing Co.'|baker roofing|false
Pensacola|Baker Roofing|FL|1|1|11|20575|560130810|'Baker Roofing Co.'|baker roofing|false
Baker Roofing Corporate|Baker Roofing|NC|1|1|250|540388|560130810|'Baker Roofing Co.'|baker roofing|false
Residential|Baker Roofing|NC|1|1|57|123140|560130810|'Baker Roofing Co.'|baker roofing|false
Residential Branches|Baker Roofing|NC|1|1|16|33727|560130810|'Baker Roofing Co.'|baker roofing|false
Restoration|Baker Roofing|NC|1|1|28|54990|560130810|'Baker Roofing Co.'|baker roofing|false
Savannah, GA|Baker Roofing|GA|1|1|6|11852|560130810|'Baker Roofing Co.'|baker roofing|false
1515 Lake Wheeler/SMS|Baker Roofing|NC|1|1|2|3880|560130810|'Baker Roofing Co.'|baker roofing|false
Special Projects|Baker Roofing|NC|1|1|25|48885|560130810|'Baker Roofing Co.'|baker roofing|false
Tampa|Baker Roofing|FL|1|1|8|14442|560130810|'Baker Roofing Co.'|baker roofing|false
Wilmington|Baker Roofing|NC|1|1|39|62690|560130810|'Baker Roofing Co.'|baker roofing|false
Woodbridge|Baker Roofing|VA|1|1|12|19126|560130810|'Baker Roofing Co.'|baker roofing|false
WP&C|Baker Roofing|NC|1|1|3|5821|560130810|'Baker Roofing Co.'|baker roofing|false
York,PA|Baker Roofing|PA|1|1|4|5699|541136608|'Baker Roofing Co.'|baker roofing|false
Monarch,Inc.|MONARCH, INC.|OK|1|21|45|93600|731209599|'Monarch Consulting Services'|monarch|false
Alkon Corporation|Alkon Corporation|OH|1|22|172|384717|341679064|'Alkon Group LLC'|alkon|false
TeamCraft Roofing, Inc.|TeamCraft Roofing, Inc.|NC|1|3|440|854691|561986226|'TeamCraft Roofing Inc.'|teamcraft roofing|false
CertainTeed Athens|CertainTeed|GA|1|22|200|467072|232510893|'CertainTeed LLC'|certainteed|false
Hytech Roofing, INC|Hytech Roofing, INC|WA|1|21|62|90681|911202974|'HyTech Roofing Inc.'|hytech roofing|false
