establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
Harness Roofing HS|Harness Roofing, Inc.|AR|1|2|48|91307|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing SD|Harness Roofing, Inc.|AR|1|2|71|109569|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing FS|Harness Roofing, Inc.|AR|1|2|47|91305|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing TS|Harness Roofing, Inc.|OK|1|2|38|82851|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing Corp|Harness Roofing, Inc.|AR|1|2|22|44857|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing LR|Harness Roofing, Inc.|AR|1|2|39|77364|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing MN|Harness Roofing Inc.|LA|1|1|11|22428|710654212|'Harness Roofing Inc.'|harness roofing|false
Wm. Kramer & Son, Inc|Wm. Kramer & Son, Inc|OH|1|2|65|110731|310787481|'Wm. Kramer & Son Inc.'|wm. kramer & son|false
Capitol Roofing Inc|Capitol Roofing Inc|WY|1|2|25|52000|800328938|'Capitol Roofing Inc.'|capitol roofing|false
Main Office|Dickson Company|WA|1|2|70|129627||'Dickson Contractors Inc.'|dickson|false
Gustafson Industries Inc|Gustafson Industries Inc|FL|1|2|30|65979|592741607|'Gustafson Industries Inc.'|gustafson|false
Great Lakes Roofing Corp - Menasha|Great Lakes Roofing Corporation|WI|1|2|21|37878|391583074|'Great Lakes Roofing Corp.'|great lakes roofing|false
Sutter Roofing Company of Florida|Sutter Roofing|FL|1|2|234|544813|591923325|'Sutter Roofing', 'Sutter Roofing Co.'|sutter roofing|true
O'Neal Manufacturing Services dba Iowa Laser Technology|O'Neal Manufacturing Services|IA|1|2|125|318679|464009446|'O'Neal Construction'|o'neal|false
Molloy Roofing Company|Molloy Roofing Company|OH|1|2|52|99730|310787317|'Molloy Roofing Co.'|molloy roofing|false
Owens Corning Brentwood|Owens Corning|NH|1|2|75|146980|743189734|'Owens Corning'|owens corning|false
York Roofing Inc.|York Roofing Inc.|PA|1|2|31|63114||'York Roofing Inc.'|york roofing|false
Nu-Tec Roofing Contractors|Nu-Tec Roofing Contractors LLC|IN|1|2|71|169266|352114307|'Nu-Tec Roofing Contractors LLC'|nu-tec roofing|false
Mission Plastics North|Peterson Manufacturing Company|MO|1|2|150|256928||'Peterson Consulting Group'|peterson|false
TCR Systems|TCR Systems LLC|IL|1|2|100|209521|141845838|'TCR Construction Group'|tcr|false
The Quality Roofing Company|The Quality Roofing Company|MO|1|2|28|43887|440400020|'The Quality Roofing Co. Inc.'|the quality roofing|false
River City Roofing|River City Roofing|FL|1|2|28|22272|200703878|'River City Roofing', 'River City Roofing Co. Inc.'|river city roofing|true
Exterior Services|Fort-Cica Roofing & General Contractors Inc.|NY|1|2|40|65634||'Fort-Cica Roofing & General Contractors Inc.'|fort-cica roofing & general|false
Range Cornice & Roofing Co Inc|Range Cornice & Roofing Co Inc|MN|1|2|23|45442|410790570|'Range Cornice & Roofing Co.'|range cornice & roofing|false
Atlas Roofing Corporation, Franklin|Atlas Roofing Corporation|OH|1|2|150|325618|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
CertainTeed|CertainTeed|AL|1|2|74|117449|320613145|'CertainTeed LLC'|certainteed|false
Weathergard Inc|Weathergard Inc|NC|1|2|40|67979||'Weathergard Inc.'|weathergard|false
Indian River Power Plant|NRG|DE|1|2|61|120431|411724239|'NRG Construction LLC'|nrg|false
CertainTeed Jonesburg|CertainTeed|MO|1|2|124|371650||'CertainTeed LLC'|certainteed|false
CFX Toll Operations|AECOM|FL|1|3|275|455421|340217470|'AECOM'|aecom|false
Delta Innovative Services Inc|Delta Innovative Services|KS|1|2|203|339860|200820115|'Delta Innovative Services'|delta innovative|false
Tiffin OH Soltech|Owens Corning|OH|1|2|66|118464|740210398|'Owens Corning'|owens corning|false
Service Roofing Company|Service Roofing Company|IA|1|2|25|25404|420895028|'Service Roofing Co.'|service roofing|false
Tri-State Roofing & Sheet Metal Company|Tri-State Roofing & Sheet Metal|WV|1|2|23|33380|471425515|'Tri-State Roofing & Sheet Metal Company'|tri-state roofing & sheet metal|false
Commercial Roofing Contractor|Interstate Roofing Co Inc|NC|1|2|42|89680||'Interstate Roofing Inc.'|interstate roofing|false
Williamsburg Office|Pyramid Roofing|VA|1|1|14|24660|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Hampton Office|Pyramid Roofing|VA|1|1|18|31707|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Industrial Construction/Engineering|United Group Services|OH|1|3|320|770767|311035659|'United Contractors'|united|false
Elite Welding Academy|United Group Services|OH|1|1|19|35485|510606029|'United Contractors'|united|false
Cardinal Roofing, Inc.|Cardinal Roofing, Inc.|TX|1|2|78|136436|751802132|'Cardinal Roofing', 'Cardinal Roofing Inc.'|cardinal roofing|true
AOC Tennessee Colorants|Alpha Corporation|TN|1|2|46|92041|621576207|'Alpha Construction Services'|alpha|false
Hillsdale|Dayco|MI|1|2|20|41229|161598206|'Dayco Inc.'|dayco|false
AOC Tennessee Resins|Alpha Corporation|TN|1|2|71|141017||'Alpha Construction Services'|alpha|false
St Cloud - BIC|Braun Intertec Corp.|MN|1|2|20|41909||'Braun Intertec Corp.'|braun intertec|false
Bloomington - BIC|Braun Intertec Corporation|MN|1|3|380|753888||'Braun Intertec Corp.'|braun intertec|false
Hibbing - BIC|Braun Intertec Corporation|MN|1|2|23|41404||'Braun Intertec Corp.'|braun intertec|false
White Bear Lake - BIC|Braun Intertec Corporation|MN|1|2|47|90864||'Braun Intertec Corp.'|braun intertec|false
Paragon Medical - Smithfield|MW Industries|UT|1|2|160|309034|351831457|'MW'|mw|false
Diamond Roofing - Akron|Diamond Roofing Systems|OH|1|2|35|76971|462010388|'Diamond Roofing', 'Diamond Roofing Co. Inc.', 'Diamond Roofing Systems'|diamond roofing|true
Paragon Medical - Cases & Trays - Pierceton|MW Industries|IN|1|3|270|546313|351831457|'MW'|mw|false
Paragon Medical - Instruments & Implants - Pierceton|MW Industries|IN|1|3|250|486795|351831457|'MW'|mw|false
Mid-South Roof Systems|Mid-South Roof Systems|GA|1|2|177|385000|581876904|'Mid-South Roof Systems'|mid-south roof|false
Rio Roofing, Inc.|Rio Roofing, Inc.|TX|1|2|41|96818|742427440|'Rio Roofing', 'Rio Roofing Inc.'|rio roofing|true
Specialty Roofing|Specialty Roofing Inc|AZ|1|2|55|109120|860224636|'Specialty Roofing Inc.'|specialty roofing|false
Gillespie Roofing, Inc.|Gillespie Roofing, Inc.|WA|1|2|17|35011|911334128|'Gillespie Roofing Inc.'|gillespie roofing|false
Gale Construction Company|Gale Construction Company|IL|1|2|17|31495||'Gale Associates Inc.'|gale|false
Waterproofing Associates  Inc.|Waterproofing Associates  Inc.|CA|1|2|120|251563|770304667|'Waterproofing Associates'|waterproofing|false
Richmond, VA Office|Whitley/Service Roofing & Sheet Metal Company|VA|1|2|51|73929||'Whitley/Service Roofing & Sheet Metal Company'|whitley/service roofing & sheet metal|false
SRS Main|SOUTHEAST ROOFING SOLUTIONS|GA|1|2|73|175973||'Southeast Roofing Solutions Inc.'|southeast roofing|false
Statewide Roofing, Inc.|Statewide Roofing, Inc.|NY|1|2|45|67500|112684192|'Statewide Roofing Inc.'|statewide roofing|false
Paragon Medical - Indianapolis|MW Industries|IN|1|2|70|143172|351831457|'MW'|mw|false
Roofing Construction|Pinnacle Roofing, Inc.|NY|1|2|25|50546|200593022|'Pinnacle Roofing'|pinnacle roofing|false
Owens Corning Summit Asphalt|Owens Corning|IL|1|2|30|60751||'Owens Corning'|owens corning|false
Owens Corning Summit Roofing|Owens Corning|IL|1|2|110|190058||'Owens Corning'|owens corning|false
JDH Company Inc.|JDH Company|TN|1|2|70|171000||'JDH Co. Inc.'|jdh|false
Western Pacific Roofing Corp. of Palm Springs|Western Pacific Roofing Corp.|CA|1|2|33|63582|952386834|'Western Pacific Roofing Corp.'|western pacific roofing|false
Western Pacific Roofing Corp.|Western Pacific Roofing Corp.|CA|1|2|49|100334|952386834|'Western Pacific Roofing Corp.'|western pacific roofing|false
Eckstein Roofing Co.|Eckstein Roofing Co.|OH|1|2|28|48979||'Eckstein Roofing Co.'|eckstein roofing|false
McCarthy Building Companies - West Georgia Technical College|McCarthy Building Companies|GA|2|1|12|15886||'McCarthy Building Companies'|mccarthy building companies|false
Jonesboro Roofing Co., Inc.|Jonesboro Roofing Co Inc|AR|1|2|69|167588|710533611|'Jonesboro Roofing Co. Inc.'|jonesboro roofing|false
J.D. Miles & Sons Inc.|J.D. Miles & Sons Inc|VA|1|2|28|45722|540623631|'J.D. Miles & Sons Inc.'|j.d. miles & sons|false
Pro Services Construction|Pro Services Construction|KY|1|2|15|31836|920193998|'Pro Services CO LLC'|pro|false
Smith Systems Inc|Smith Systems Inc|NC|1|2|47|99840||'Smith Group'|smith|false
Mint Roofing, Inc.|Mint Roofing, Inc.|MN|1|2|51|89313|810389786|'Mint Roofing Inc.'|mint roofing|false
JRT Top notch Roofs, LLC|JRT Top Notch Roofs, LLC|WI|1|2|37|49986|452933462|'JRT Top Notch Roofs LLC'|jrt top notch roofs|false
Elens & Maichin Roofing & Sheet Metal, Inc.|Elens & Maichin Roofing & Sheet Metal, Inc.|IL|1|2|35|61630|362807358|'Elens & Maichin Roofing & Sheet Metal Inc.'|elens & maichin roofing & sheet metal|false
J.L. Adler Roofing & Sheet Metal, Inc.|J.L. Adler Roofing & Sheet Metal, Inc.|IL|1|2|55|93163|362302162|'J.L. Adler Roofing & Sheet Metal Inc.'|j.l. adler roofing & sheet metal|false
IRS Jackson|Independent Roofing Systems|MS|1|2|139|306982|640657679|'Independent Roofing Company Inc.', 'Independent Roofing Systems Inc.'|independent roofing|true
Aspen Contracting Inc|Aspen Contracting, Inc.|MO|1|2|198|396000|510587434|'Aspen Contracting Inc.'|aspen contracting|false
RPG Shakopee|CertainTeed LLC|MN|1|3|246|472106||'CertainTeed LLC'|certainteed|false
Insulfoam - Phoenix|Carlisle Construction Materials|AZ|1|2|51|102753||'Carlisle Construction Materials'|carlisle construction materials|false
Insulfoam - Chino|Carlisle Construction Materials|CA|1|2|58|115230||'Carlisle Construction Materials'|carlisle construction materials|false
Insulfoam - Dixon|Carlisle Construction Materials|CA|1|2|73|145689||'Carlisle Construction Materials'|carlisle construction materials|false
GKL Companies|GKL Companies, Inc.|AL|1|2|22|43651|631050305|'GKL Companies Inc.'|gkl companies|false
Smart Roofing, INc.|Smart Roofing, Inc.|IL|1|1|12|11000|363902208|'Smart Roofing Inc.'|smart roofing|false
MRC Roofing, LLC|MRC Roofing, LLC|HI|1|2|36|59518|274488625|'MRC Roofing LLC'|mrc roofing|false
Ford Roofing Systems Inc|Ford Roofing Systems Inc|FL|1|2|14|25419|461526455|'Ford Roofing Co. LLC'|ford roofing|false
Commonwealth Building Company Inc.|Commonwealth Building Company|MA|1|2|29|60320|042706053|'Commonwealth Building Systems LLC'|commonwealth building|false
Donan|Donan|KY|1|3|360|674960|461265363|'Donan'|donan|false
Rockford Plant Foamular|Owens Corning|IL|1|2|63|129830||'Owens Corning'|owens corning|false
Certified Roofing Specialists, Inc.|Certified Roofing Specialists, Inc.|FL|1|2|20|40142|592758076|'Certified Roofing Specialists Inc.'|certified roofing specialists|false
McEnany Roofing, Inc T|McEnany Roofing, Inc|FL|1|2|142|284925|592583665|'McEnany Roofing Inc.'|mcenany roofing|false
Schulte Roofing|Schulte Roofing|TX|1|2|26|55695|810555670|'Schulte Roofing Inc.'|schulte roofing|false
NorthStar Construction Services Corp.|NorthStar Construction Services Corp.|MA|1|2|71|136612|043156949|'NorthStar Construction Services Corp.'|northstar|false
Superior Services RSH, Inc.|Superior Services RSH Inc|MI|1|2|29|38476|382491879|'Superior Services RSH Inc.'|superior services rsh|false
Environmental Roofing & Waterproofing Main Offices|Environmental Roofing & Waterproofing|CA|1|2|30|67074|770572713|'Environmental Roofing & Waterproofing, Inc.'|environmental roofing & waterproofing|false
Bloom Roofing Systems Inc|Bloom Roofing Systems Inc.|MI|1|2|98|208906||'Bloom Roofing Systems Inc.'|bloom roofing|false
Delta Contracting Inc.|Delta Contracting Inc.|NC|1|2|107|224224|561880490|'Delta Contracting Services Inc.'|delta contracting|false
CertainTeed - Avery|CertainTeed LLC|OH|1|2|180|398851|232510893|'CertainTeed LLC'|certainteed|false
Simpson Unlimited, Inc.|Simpson Unlimited, Inc.|VA|1|2|121|286817|541771632|'Simpson Unlimited Inc.', 'Simpson Unlimited, Inc.'|simpson unlimited|true
Wolf Commercial Roofing, Inc.|Wolf Commercial Roofing, Inc.|IN|1|1|15|39525|823789043|'Wolf Commercial Roofing Inc.'|wolf commercial roofing|false
Triangle Roofing, Inc.|Triangle Roofing, Inc.|PA|1|2|40|56036|251513867|'Triangle Roofing Inc.'|triangle roofing|false
McKinnis Inc|McKinnis Inc|NE|1|2|80|152939|470752353|'McKinnis Inc.'|mckinnis|false
CertainTeed Corporation Williamsport Maryland|CertainTeed Corporation|MD|1|3|277|555508||'CertainTeed LLC'|certainteed|false
Webco Industries - Mannford Speciality Tube|Webco Industries|OK|1|2|209|440192|731097133|'WEBCO Services LLC'|webco|false
Jottan, Inc.|Jottan, Inc.|NJ|1|2|80|128973||'Jottan Inc.'|jottan|false
Ridgeview Plant|Owens Corning|SC|1|2|39|80512||'Owens Corning'|owens corning|false
TW Metals - Atlanta|O'Neal Industries|GA|1|2|39|83306|464009440|'O'Neal Construction'|o'neal|false
TW Metals - STP|O'Neal Industries|NJ|1|2|26|54771|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Cranbury|O'Neal Industries|NJ|1|2|33|71284|464009440|'O'Neal Construction'|o'neal|false
Restoration Services Inc.|Restoration Services Inc.|TX|1|2|152|237868|760044493|'Restoration Services Inc.'|restoration|false
TW Metals - Wichita|O'Neal Industries|KS|1|2|44|94808|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Seattle|O'Neal Industries|WA|1|2|34|68303|464009440|'O'Neal Construction'|o'neal|false
TW Metals - LA|O'Neal Industries|CA|1|2|64|135670|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Exton|O'Neal Industries|PA|1|2|95|197231|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Cincinnati|O'Neal Industries|OH|1|2|28|60114|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Carol Stream|O'Neal Industries|IL|1|2|102|215147|464009440|'O'Neal Construction'|o'neal|false
Saint-Gobain|CertainTeed Corporation|LA|1|2|75|231655|232615166|'CertainTeed LLC'|certainteed|false
Bonitz of Georgia|Bonitz of Georgia|GA|1|2|34|79341|581897306|'Bonitz of Georgia Inc.'|bonitz of georgia|false
Tarheel Roofing, Inc.|Tarheel Roofing, Inc.|FL|1|2|72|156366|592679504|'Tarheel Roofing Inc.'|tarheel roofing|false
Cross Manufacturing Inc.|Cross Manufacturing Inc.|KS|1|2|116|216114|480668545|'Cross Construction CO. INC.'|cross|false
Nations Roof of Indiana LLC|Nations Roof|IN|1|1|12|27056|822431871|'Nations Roof', 'Nations Roof LLC'|nations roof|true
Oil City Tube Division|Webco Industries Inc.|PA|1|2|131|272497|731097133|'WEBCO Services LLC'|webco|false
Webco|Webco Industries Inc|PA|1|2|131|272497||'WEBCO Services LLC'|webco|false
Webco VAF|Webco Industries Inc|PA|1|2|39|72989|731097133|'WEBCO Services LLC'|webco|false
Midwest Coating, Inc.|Midwest Coating, Inc.|KS|1|2|38|81382|480896503|'Midwest Coating Inc.'|midwest coating|false
Cullman|Royal Technologies|MI|1|2|202|367227|382726351|'Royal industries LLC'|royal|false
Royal Center|Royal Technologies|MI|1|2|128|245398|382726351|'Royal industries LLC'|royal|false
Highland|Royal Technologies|MI|1|2|26|48306|382726351|'Royal industries LLC'|royal|false
Quincy 2|Royal Technologies|MI|1|1|13|19393|382726351|'Royal industries LLC'|royal|false
Mission|Royal Technologies|MI|1|2|143|268999|382726351|'Royal industries LLC'|royal|false
Corp Grove|Royal Technologies|MI|1|3|303|519026|382726351|'Royal industries LLC'|royal|false
Quincy|Royal Technologies|MI|1|3|404|717460|382726351|'Royal industries LLC'|royal|false
THOMAS INDUSTRIES|THOMAS INDUSTRIES|MN|1|2|34|42410||'Thomas Co. Inc.'|thomas|false
American Building Systems LLC.|American Building Systems LLC|NV|1|2|85|352334|463600668|'American Building Contractors Inc'|american building|false
Turner Morris, Inc.|TURNER MORRIS, INC.|CO|1|2|61|101168|841199856|'Turner Morris Inc.'|turner morris|false
Ridge Valley Exteriors|Ridge Valley Exteriors|GA|1|2|35|60000|264306586|'Ridge Valley Exteriors Inc.'|ridge valley exteriors|false
Turner Morris, Inc. Silverthorne|Turner Morris, Inc.|CO|1|2|50|81256|841199856|'Turner Morris Inc.'|turner morris|false
4057_7882|Pro Services|MI|2|2|160|333742|383637535|'Pro Services CO LLC'|pro|false
A Brooks Roofing Inc|A Brooks Roofing Inc|NJ|1|2|46|87380||'A Brooks Roofing Inc.'|a brooks roofing|false
Great Wolf Lodge|Great Lakes Services LLC|PA|1|3|490|529503|271371313|'Great Lakes Systems Inc.'|great lakes|false
GUNTER CONSTRUCTION ROOFING, INC.|GUNTER CONSTRUCTION ROOFING, INC.|KY|1|2|34|69294|611065364|'Gunter Construction Roofing Inc.'|gunter construction roofing|false
GSM Roofing|GSM Roofing|PA|1|2|92|196983|232553249|'GSM Roofing'|gsm roofing|false
Hartford South, LLC|Hartford South, LLC|FL|1|2|104|159999||'Hartford South LLC'|hartford south|false
Webco - Texas Distribution|Webco Industries|TX|1|2|34|64082|731097133|'WEBCO Services LLC'|webco|false
SCS Red Hills|Southern Company Services|MS|1|2|68|136272|630274273|'Southern National'|southern|false
Webco Oklahoma Distribution|Webco Industries|OK|1|2|45|109629|731097133|'WEBCO Services LLC'|webco|false
New NGC. Inc.|National Gypsum Company|MD|1|2|36|91101|752474490|'National Gypsum Co.'|national gypsum|false
Mt. Pleasant|Dayco|MI|1|2|125|295268|161598206|'Dayco Inc.'|dayco|false
Soltech, Sprinfield TN|Owens Corning|TN|1|2|28|51623|351575937|'Owens Corning'|owens corning|false
Pierce Lee Roofing|Pierce Lee Roofing LLC|ND||2|26|43830||'Pierce Lee Roofing LLC'|pierce lee roofing|false
Owens Corning Savannah Roofing and Asphalt|Owens Corning|GA|1|2|94|190834|320176634|'Owens Corning'|owens corning|false
O'Neal Manufacturing Services|O'Neal Manufacturing Services|KY|1|2|82|204933|371784771|'O'Neal Construction'|o'neal|false
Construction - Roofing|Southern Roofing Company Inc.|FL|1|2|49|101670|593711033|'Southern Roofing Co. Inc.', 'Southern Roofing Inc.', 'Southern Roofing Services Inc.'|southern roofing|true
Alabama Roofing & Sheet Metal Co Inc.|Alabama Roofing & Sheet Metal Co Inc.|AL|1|2|37|57767|630509232|'Alabama Roofing & Sheet Metal Inc.'|alabama roofing & sheet metal|false
Weathercraft, Inc.|Weathercraft, Inc.|MO|1|2|40|64950|431206531|'Weathercraft Inc.'|weathercraft|false
Preferred Manuracturing Services Inc d.b.a. Snowline Engineering|Preferred Manufacturing Services Inc.|CA|1|2|63|119805|680419694|'Preferred Construction Services Inc.'|preferred|false
Central Roofing Company|Central Roofing Co.|CA|1|2|43|73717|330536574|'Central Roofing', 'Central Roofing Co.', 'Central Roofing Inc.', 'Central Roofing LLC'|central roofing|true
Spann Roofing & Sheet Metal, Inc.|Spann Roofing & Sheet Metal, Inc.|SC|1|2|72|143910||'Spann Roofing & Sheet Metal Inc.'|spann roofing & sheet metal|false
Tallmadge Plant|Owens Corning|OH|1|2|70|136752||'Owens Corning'|owens corning|false
2300|CentiMark Corporation|MI|1|2|32|43941||'CentiMark Corporation'|centimark|false
2701|CentiMark Corporation|NE|1|2|35|59959||'CentiMark Corporation'|centimark|false
4110|CentiMark Corporation|AL|1|2|35|51207||'CentiMark Corporation'|centimark|false
1300|CentiMark Corporation|MD|1|2|66|114967||'CentiMark Corporation'|centimark|false
5400|CentiMark Corporation|CO|1|2|61|86600||'CentiMark Corporation'|centimark|false
5350|CentiMark Corporation|AZ|1|2|85|109759||'CentiMark Corporation'|centimark|false
5310|CentiMark Corporation|OR|1|2|49|70239||'CentiMark Corporation'|centimark|false
Manson Roofing, Inc.|Manson Roofing, Inc.|FL|1|2|39|73005|591799056|'Manson Roofing Inc.'|manson roofing|false
CRW Inc|CRW Inc|OH|1|2|69|143520|341576048|'CRW Inc.'|crw|false
Commercial Roofers, Inc.|Commercial Roofers, Inc.|NV|1|2|350|434786||'Commercial Roofers Inc.'|commercial roofers|false
The Roof Authority, Inc.|The Roof Authority, Inc.|FL|1|2|43|36790|650384452|'The Roof Authority Inc.'|the roof authority|false
JB Roofing a Tecta America Company LLC|JB Roofing a Tecta America Company LLC|OH|1|2|68|119789||'JB Roofing a Tecta America Company LLC'|jb roofing a tecta america|false
5110|CentiMark Corporation|ID|1|2|36|64721|251194990|'CentiMark Corporation'|centimark|false
4800|CentiMark Corporation|FL|1|2|35|66423|251194990|'CentiMark Corporation'|centimark|false
4750|CentiMark Corporation|FL|1|2|84|127552|251194990|'CentiMark Corporation'|centimark|false
4400|CentiMark Corporation|TN|1|2|33|49840|251194990|'CentiMark Corporation'|centimark|false
4300|CentiMark Corporation|NC|1|2|125|223524|251194990|'CentiMark Corporation'|centimark|false
4210|CentiMark Corporation|NC|1|2|63|104408|251194990|'CentiMark Corporation'|centimark|false
3610|CentiMark Corporation|TX|1|2|77|136074|251194990|'CentiMark Corporation'|centimark|false
4100|CentiMark Corporation|GA|1|2|82|134303|251194990|'CentiMark Corporation'|centimark|false
3600|CentiMark Corporation|TX|1|2|61|113721|251194990|'CentiMark Corporation'|centimark|false
3450|CentiMark Corporation|TN|1|2|4877789|77789|251194990|'CentiMark Corporation'|centimark|false
2910|CentiMark Corporation|NY|1|2|58|81139|251194990|'CentiMark Corporation'|centimark|false
