establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
Camp Hill Plant|Atlas Roofing Corporation|PA|1|2.00|72.00|158611.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Milliken & Company - Alma Plant|Milliken & Company|GA|1|2.00|144.00|282065.00||'Milliken & Company'|milliken &|false
Watkins Development Corporation|Watkins Development Corporation|TX|1|2.00|25.00|55401.00|751690772|'Watkins Construction'|watkins|false
AOC Tennessee Colorants|Alpha Corporation|TN|1|2.00|54.00|111919.00|621576207|'Alpha Construction Services'|alpha|false
Southern Management Corporation|Southern Management Corporation|VA|1|3.00|2199.00|3039933.00|521223227|'Southern National'|southern|false
Royal Roofing Company Inc.|Royal Roofing Company Inc.|MI|1|2.00|175.00|313626.00|382482479|'Royal Roofing Inc.'|royal roofing|false
AOC Tennessee Resins|Alpha Corporation|TN|1|2.00|78.00|163812.00||'Alpha Construction Services'|alpha|false
Redd Roofing Company Inc.|Redd Roofing Company Inc.|UT|2|2.00|95.00|197123.00||'Redd Roofing Co. Inc.'|redd roofing|false
Webco Industries - Mannford Speciality Tube|Webco Industries|OK|1|2.00|231.00|497112.00|731097133|'WEBCO Services LLC'|webco|false
Warren Roofing & Insulating Company|Warren Roofing & Insulating Company|OH|1|2.00|110.00|178158.00||'Warren Roofing & Insulating Co.'|warren roofing & insulating|false
UNITED CONSTRUCTION CORP|UNITED CONSTRUCTION CORP|NH|1|2.00|43.00|87503.00||'United Contractors'|united|false
Atlas Roofing Corporation|Atlas Roofing Corporation|MS|1|2.00|209.00|506197.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Delta Innovative Services Inc|Delta Innovative Services|KS|1|2.00|165.00|272668.00|200820115|'Delta Innovative Services'|delta innovative|false
DB2 Services Inc|DB2 Services Inc|KS|1|2.00|40.00|67101.00|264075785|'DB2 Services Inc.'|db2|false
Boyd Corporation - Elkhart, IN|Boyd Corporation|IN|1|2.00|95.00|162273.00||'Boyd Inc.'|boyd|false
Hartford South, LLC|Hartford South, LLC|FL|1|2.00|90.00|178578.00||'Hartford South LLC'|hartford south|false
Boyd Corporation - Solimide Foams|Boyd Corporation|AR|1|2.00|30.00|62400.00||'Boyd Inc.'|boyd|false
Preferred Management Corporation|Preferred Management Corporation|OK|1|2.00|33.00|63398.00|731312311|'Preferred Construction Services Inc.'|preferred|false
Guy Roofing, Inc.|Guy Roofing, Inc.|SC|1|2.00|140.00|196313.00||'Guy Roofing Inc.'|guy roofing|false
Main Office|Moss Roofing & Insulation, Inc.|IA|1|1.00|10.00|16500.00||'Moss Roofing & Insulation Inc.'|moss roofing & insulation|false
West Texas Home Health Inc DBA Bluebonnet Home Health & Hospice|Preferred Management Corp|TX|1|2.00|21.00|24727.00||'Preferred Construction Services Inc.'|preferred|false
Coleman Home Health and Hospice|Preferred Management Corp.|TX|1|2.00|14.00|13730.00|463113740|'Preferred Construction Services Inc.'|preferred|false
Weathercraft, Inc.|Weathercraft, Inc.|MO|1|2.00|39.00|69717.00|431206531|'Weathercraft Inc.'|weathercraft|false
Southern Construction, Inc.|Southern Construction|MO|1|2.00|34.00|64300.00|431237037|'Southern National'|southern|false
Capitol Roofing Inc|Capitol Roofing Inc|WY|1|2.00|25.00|52000.00|800328938|'Capitol Roofing Inc.'|capitol roofing|false
Corperate|Southeast Roofing Solutions|GA|1|2.00|78.00|178312.00||'Southeast Roofing Solutions Inc.'|southeast roofing|false
Elite Welding Academy|United Group Services|OH|1|1.00|16.00|28984.00|510606029|'United Contractors'|united|false
Industrial Construction/Engineering|United Group Services|OH|1|3.00|270.00|777953.00|311035659|'United Contractors'|united|false
CertainTeed Wilmington|CertainTeed LLC|CA|1|2.00|64.00|128290.00||'CertainTeed LLC'|certainteed|false
Tarco Roofing Materials, Inc|Tarco, Inc|PA|1|2.00|41.00|99920.00||'Tarco'|tarco|false
Industrial First, Inc.|Industrial First, Inc.|OH|1|2.00|126.00|248935.00||'Industrial First Inc.'|industrial first|false
Atlas Roofing Corporation - Northglenn, CO|Atlas Roofing Corporation|CO|1|2.00|33.00|72495.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Atlas Roofing Corporation - Phoenix AZ|Atlas Roofing Corporation|AZ|1|2.00|29.00|57625.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Pacific Home Health and Hospice|Preferred Management|OR|1|1.00|14.00|26933.00||'Preferred Construction Services Inc.'|preferred|false
FL|Neth & Son Inc|FL|1|2.00|19.00|18845.00|061320679|'Neth & Son Inc.'|neth & son|false
NY|Neth & Son Inc|NY|1|2.00|89.00|130875.00|161010131|'Neth & Son Inc.'|neth & son|false
Phinney Industrial Roofing, Inc.|Phinney Industrial Roofing, Inc.|OH|1|2.00|23.00|37595.00|341478040|'Phinney Industrial Roofing Inc.'|phinney industrial roofing|false
Kleinfelder|Kleinfelder|CA|1|3.00|1737.00|3269235.00|941532513|'Kleinfelder, Inc'|kleinfelder|false
Environmental Roofing & Waterproofing Main Offices|Environmental Roofing & Waterproofing|CA|1|2.00|33.00|77317.00|770572713|'Environmental Roofing & Waterproofing, Inc.'|environmental roofing & waterproofing|false
James King Roofing LLC|James King Roofing LLC|WA|1|2.00|23.00|36675.00|831073432|'James King Roofing LLC'|james king roofing|false
Schulte Roofing|Schulte Roofing|TX|1|2.00|27.00|67125.00|810555670|'Schulte Roofing Inc.'|schulte roofing|false
Kaw Roofing & Sheet Metal, Inc|Kaw Roofing & Sheet Metal, Inc|KS|1|2.00|45.00|71130.00|480583315|'Kaw Roofing & Sheet Metal Inc.'|kaw roofing & sheet metal|false
Davinci Roofscapes|DaVinci Roofscapes|KS|1|2.00|104.00|314875.00|481215520|'DaVinci Roofscapes LLC'|davinci roofscapes|false
AECOM - Princeton Office|AECOM|NJ|1|2.00|165.00|400000.00||'AECOM'|aecom|false
Cumberland Dewatering & Waste Water Project|AECOM|TN|1|2.00|80.00|166443.00|340217470|'AECOM'|aecom|false
Lehigh\Northeast Super Region Project|AECOM|PA|1|2.00|41.00|62637.00||'AECOM'|aecom|false
United Engines|United Holdings|OK|1|2.00|158.00|278040.00|841585010|'United Contractors'|united|false
Riverside Project|AECOM|WI|1|2.00|202.00|584964.00|340217470|'AECOM'|aecom|false
SONGS Decommissioning Solutions|AECOM|CA|1|2.00|176.00|267322.00|340217470|'AECOM'|aecom|false
URSM|United Roofing & Sheet Metal, Inc.|CT|1|2.00|40.00|67102.00|472424796|'United Roofing & Sheet Metal Inc.'|united roofing & sheet metal|false
DTE Fermi 2 Nuclear Power Plant Modifications Maintenance Services and Engineering|AECOM|MI|1|2.00|63.00|132041.00|340217470|'AECOM'|aecom|false
Highland|Royal Technologies|MI|1|2.00|37.00|75569.00||'Royal industries LLC'|royal|false
Royal Center|Royal Technologies|MI|1|2.00|116.00|270670.00||'Royal industries LLC'|royal|false
Cullman|Royal Technologies|MI|1|2.00|207.00|443226.00||'Royal industries LLC'|royal|false
Mission|Royal Technologies|MI|1|2.00|174.00|419543.00||'Royal industries LLC'|royal|false
Restoration Services Inc.|Restoration Services Inc.|TX|1|2.00|118.00|160506.00|760044493|'Restoration Services Inc.'|restoration|false
Quincy|Royal Technologies|MI|1|3.00|435.00|1012380.00|382726351|'Royal industries LLC'|royal|false
Corp Grove|Royal Technologies|MI|1|3.00|330.00|760636.00|382726351|'Royal industries LLC'|royal|false
Quincy 2|Royal Technologies|MI|1|1.00|10.00|4634.00|382726351|'Royal industries LLC'|royal|false
Carlson Roofing Company|Carlson Roofing Company|OR|1|2.00|52.00|85907.00|200950708|'Carlson Roofing Company Inc.'|carlson roofing|false
Nikel Precision Group LLC|Precision Manufacturing Solutions Inc.|ME|1|2.00|80.00|170401.00|474547703|'Precision Construction Services'|precision|false
RSI of Florida, LLC|RSI of Florida, LLC|FL|1|2.00|48.00|92971.00|592574965|'RSI of Florida Inc.'|rsi of florida|false
Elens & Maichin Roofing & Sheet Metal, Inc.|Elens & Maichin Roofing & Sheet Metal, Inc.|IL|1|2.00|31.00|63644.00|362807358|'Elens & Maichin Roofing & Sheet Metal Inc.'|elens & maichin roofing & sheet metal|false
Platinum Roofing, LLC|Platinum Roofing, LLC|AR|1|2.00|26.00|52076.00|472769625|'Platinum Roofing', 'Platinum Roofing LLC', 'Platinum Roofing Solutions INC'|platinum roofing|true
West Coast Roofing, LLC|West Coast Roofing, LLC|AZ|1|2.00|21.00|39744.00|261241882|'West Coast Roofing LLC'|west coast roofing|false
Golden Acres Manor|Alpha Inc|ND|1|2.00|99.00|132770.00|450350569|'Alpha Construction Services'|alpha|false
Fidelity Roof Company Inc|Fidelity Roof Company Inc|CA|1|2.00|87.00|1248880.00|941326440|'Fidelity Roof Co.'|fidelity roof|false
Gallatin Dewater and Flow Management Project|AECOM|TN|1|2.00|100.00|362656.00|340217470|'AECOM'|aecom|false
Armstrong International - Three Rivers Division|Armstrong International Inc.|MI|1|3.00|296.00|605415.00|380308010|'Armstrong Group Inc.'|armstrong|false
TRANS COASTAL CONSTRUCTION|TRANS COASTAL CONSTRUCTION|FL|1|2.00|20.00|32025.00|591566091|'Trans Coastal Construction'|trans coastal|false
NorthStar Construction Services Corp.|NorthStar Construction Services Corp.|MA|1|2.00|72.00|140998.00|043156949|'NorthStar Construction Services Corp.'|northstar|false
Cardinal Roofing, Inc.|Cardinal Roofing, Inc.|TX|1|2.00|98.00|204809.00|751802132|'Cardinal Roofing', 'Cardinal Roofing Inc.'|cardinal roofing|true
Waterproofing Associates  Inc.|Waterproofing Associates  Inc.|CA|1|2.00|164.00|289366.00|770304667|'Waterproofing Associates'|waterproofing|false
Richmond, VA Office|Whitley/Service Roofing & Sheet Metal Company|VA|1|2.00|50.00|75370.00||'Whitley/Service Roofing & Sheet Metal Company'|whitley/service roofing & sheet metal|false
warehouse|JRT Top Notch Roofs, LLC|WI|1|2.00|33.00|45840.00||'JRT Top Notch Roofs LLC'|jrt top notch roofs|false
Quality Roofing, Inc|Quality Roofing, Inc|FL|1|2.00|158.00|387727.00|900679536|'Quality Roofing', 'Quality Roofing Inc.', 'Quality Roofing Solutions', 'Quality Roofing Solutions LLC'|quality roofing|true
Applied Roofing Systems Inc|Applied Roofing Systems Inc|MA|1|2.00|20.00|34952.00|042789449|'Applied Roofing Solutions Inc.', 'Applied Roofing Systems Inc.'|applied roofing|true
Atlas Roofing|Atlas Roofing|MO|1|2.00|42.00|108303.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Webco - Texas Distribution|Webco Industries|TX|1|2.00|45.00|77510.00||'WEBCO Services LLC'|webco|false
Webco Oklahoma Distribution|Webco Industries|OK|1|2.00|65.00|144887.00||'WEBCO Services LLC'|webco|false
Dixie Roofing, Inc. - Powell|Dixie Roofing, Inc.|TN||2.00|48.00|126602.00|621136030|'Dixie Roofing Inc.'|dixie roofing|false
Dixie Roofing, Inc. - LaFollette|Dixie Roofing, Inc.|TN||2.00|132.00|330917.00|621136030|'Dixie Roofing Inc.'|dixie roofing|false
Commercial Roofing|Commercial Roofing A Tecta America Company|WI|1|2.00|20.00|34374.00|842696369|'Commercial Roofing a Tecta America Company LLC'|commercial roofing a tecta america|false
Royal Manufacturing - Buda Facility|Royal Manufacturing|TX|1|2.00|36.00|66169.00||'Royal industries LLC'|royal|false
Command Roofing|COMMAND ROOFING|OH|1|2.00|37.00|57940.00||'Command Roofing Co.'|command roofing|false
York Roofing Inc.|York Roofing Inc.|PA|1|2.00|33.00|73152.00||'York Roofing Inc.'|york roofing|false
Fort Smith Plant|Owens Corning|AR|1|2.00|76.00|117867.00||'Owens Corning'|owens corning|false
CORE CONTRACTORS|CORE CONTRACTORS|CO|1|2.00|35.00|69479.00|841608236|'Core Consulting Group Inc.', 'Core Contractors Inc.'|core|true
Spann Roofing & Sheet Metal, Inc.|Spann Roofing & Sheet Metal, Inc.|SC|1|2.00|73.00|167382.00||'Spann Roofing & Sheet Metal Inc.'|spann roofing & sheet metal|false
DMI OH-1|Dimensional Metals Inc|OH|1|2.00|38.00|92486.00|311225408|'Dimensional Metals Inc.'|dimensional metals|false
JDH Company Inc.|JDH Company|TN|1|2.00|70.00|120519.00||'JDH Co. Inc.'|jdh|false
MW Company|MW Company|MO|1|2.00|122.00|248651.00|263484773|'MW'|mw|false
United Engines Little Rock|United Holdings|AR|1|2.00|36.00|71048.00|841585010|'United Contractors'|united|false
United Engines Shreveport|United Holdings|LA|1|2.00|26.00|72525.00|841585010|'United Contractors'|united|false
Thermo King of Houston|United Holdings|TX|1|2.00|54.00|130725.00|562426273|'United Contractors'|united|false
Thermo King of San Antonio|United Holdings|TX|1|2.00|28.00|59231.00|562426273|'United Contractors'|united|false
United Holdings|United Holdings|OK|1|2.00|37.00|75142.00|270002970|'United Contractors'|united|false
UE Manufacturing LLC OKC|United Holdings|OK|1|2.00|302.00|796815.00|841585012|'United Contractors'|united|false
United Engines Tulsa|United Holdings|OK|1|2.00|21.00|55308.00|841585012|'United Contractors'|united|false
Unilock Inc.|Unilock Inc.|NY|1|1.00|6.00|11292.00|161209280|'Unilock'|unilock|false
C.L. Linfoot Co|C.L. Linfoot Co|ND|1|2.00|56.00|112400.00||'C.L. Linfoot Co.'|c.l. linfoot|false
Baltimore|GAF|MD|1|2.00|150.00|354009.00|223626208|'GAF'|gaf|false
Burgaw|GAF|NC|1|2.00|215.00|430082.00|582394554|'GAF'|gaf|false
Chester|GAF|SC|1|2.00|80.00|171706.00|223626208|'GAF'|gaf|false
Cumming|GAF|GA|1|2.00|30.00|67505.00|203531649|'GAF'|gaf|false
Dallas|GAF|TX|1|2.00|112.00|236589.00|205980312|'GAF'|gaf|false
Fontana|GAF|CA|1|2.00|74.00|175448.00|223626208|'GAF'|gaf|false
Gainesville|GAF|TX|1|2.00|86.00|202020.00|204921692|'GAF'|gaf|false
SCS Red Hills|Southern Company Services|MS|1|2.00|68.00|136272.00|582077864|'Southern National'|southern|false
Indian River Power Plant|NRG|DE|1|2.00|65.00|122510.00||'NRG Construction LLC'|nrg|false
Owens Corning|Owens Corning|IN|1|2.00|103.00|182597.00|320176634|'Owens Corning'|owens corning|false
Hertless Brothers Roofing, Inc.|Hertless Brothers Roofing, Inc.|VA|1|2.00|24.00|41814.00|202009976|'Hertless Brothers Roofing Inc.'|hertless brothers roofing|false
Minneapolis|GAF|MN|1|2.00|102.00|207279.00|223626208|'GAF'|gaf|false
Mobile|GAF|AL|1|2.00|60.00|53816.00|223626208|'GAF'|gaf|false
Cedar City|GAF|UT|1|2.00|56.00|114530.00|461261209|'GAF'|gaf|false
Graham Prewett, Inc.|Graham Prewett, Inc.|CA|1|2.00|93.00|161463.00||'Graham Prewett Inc.'|graham prewett|false
D.R. Kidd Company Inc.|Kidd Roofing|TX|1|2.00|136.00|285792.00|742736561|'Kidd Roofing'|kidd roofing|false
Hedrick Associate|Hedrick Associates|MI|1|2.00|24.00|449712.00||'Hedrick Construction Inc.'|hedrick|false
AECOM - LaGrange Lock Rehabilitation Project|AECOM|IL|1|2.00|45.00|69644.00|340217470|'AECOM'|aecom|false
Gustafson Industries Inc|Gustafson Industries Inc|FL|1|2.00|35.00|73000.00|592741607|'Gustafson Industries Inc.'|gustafson|false
1728 W Mission|Marathon General Inc|CA|1|2.00|82.00|154128.00|330311206|'Marathon General Contractors'|marathon general|false
Owens Corning Summit Asphalt|Owens Corning|IL|1|2.00|25.00|67754.00||'Owens Corning'|owens corning|false
Owens Corning Summit Roofing|Owens Corning|IL|1|2.00|85.00|206365.00||'Owens Corning'|owens corning|false
Atlas Roofing Corporation, Franklin|Atlas Roofing Corporation|OH|1|2.00|147.00|322644.00|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Aspen Contracting Inc|Aspen Contracting, Inc.|MO|1|3.00|243.00|505743.00|510587434|'Aspen Contracting Inc.'|aspen contracting|false
Filotto Roofing|Filotto Roofing|IL|1|2.00|16.00|28913.00|363964971|'Filotto Roofing, Inc.'|filotto roofing|false
Mt. Vernon Shingle|GAF|IN|1|2.00|199.00|403660.00|223626208|'GAF'|gaf|false
Mt. Vernon TPO|GAF|IN|1|2.00|37.00|84736.00|223626208|'GAF'|gaf|false
Myerstown|GAF|PA|1|2.00|147.00|332257.00|741925368|'GAF'|gaf|false
New Columbia TPO|GAF|PA|1|2.00|50.00|107750.00|813158452|'GAF'|gaf|false
Phoenix|GAF|AR|1|2.00|25.00|64825.00|270673916|'GAF'|gaf|false
Savannah|GAF|GA|1|2.00|125.00|403415.00|223626208|'GAF'|gaf|false
Michigan City|GAF|IN|1|2.00|164.00|378169.00|223626208|'GAF'|gaf|false
Stockton|GAF|CA|1|2.00|28.00|65658.00|223626208|'GAF'|gaf|false
Tampa|GAF|FL|1|2.00|103.00|326387.00|223626208|'GAF'|gaf|false
Corporate Office|GAF|NJ|1|3.00|625.00|1272000.00|364866695|'GAF'|gaf|false
Tuscaloosa|GAF|AL|1|2.00|145.00|324308.00|751509396|'GAF'|gaf|false
TW Metals - Atlanta|O'Neal Industries|GA|1|2.00|46.00|101017.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Carol Stream|O'Neal Industries|IL|1|2.00|110.00|239424.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Cincinnati|O'Neal Industries|OH|1|2.00|31.00|67447.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Exton|O'Neal Industries|PA|1|2.00|72.00|140234.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - LA|O'Neal Industries|CA|1|2.00|80.00|180585.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Seattle|O'Neal Industries|WA|1|2.00|42.00|91689.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Wichita|O'Neal Industries|KS|1|2.00|52.00|125898.00|464009440|'O'Neal Construction'|o'neal|false
Great Lakes Management Corporate|Great Lakes Management|MN|1|2.00|21.00|50519.00|411614587|'Great Lakes Systems Inc.'|great lakes|false
TW Metals - Cranbury|O'Neal Industries|NJ|1|2.00|39.00|86494.00|464009440|'O'Neal Construction'|o'neal|false
TW Metals - STP|O'Neal Industries|NJ|1|2.00|27.00|55537.00|464009440|'O'Neal Construction'|o'neal|false
